TMED,Target,Group,rho,p,n
TMED2,BACE1,ALL,0.8372617868024916,7.709066809677687e-168,634
TMED2,BACE1,NCI,0.8297694694842619,2.683517395844661e-52,201
TMED2,BACE1,AD,0.8108687241259238,3.8749525189994884e-63,265
TMED2,APP,ALL,0.8806240964164616,3.479527444649134e-207,634
TMED2,APP,NCI,0.8727486330722625,6.855337602526486e-64,201
TMED2,APP,AD,0.8766569081365507,1.513351059552899e-85,265
TMED9,BACE1,ALL,0.5465267605524371,1.1734942317650287e-50,634
TMED9,BACE1,NCI,0.5641776267178957,2.7466402675351053e-18,201
TMED9,BACE1,AD,0.5435464733875857,8.984178501987086e-22,265
