TMED,Group,rho,p,n
TMED2,ALL,0.11802036626391459,0.018212059908341,400
TMED2,NCI,0.1295570531819033,0.0941746859101093,168
TMED2,AD,-0.07173794790295328,0.41549668825258984,131
TMED10,ALL,0.07213047725092807,0.14987557314755523,400
TMED10,NCI,-0.016435490880258453,0.8325345005596124,168
TMED10,AD,0.015059503917069637,0.8644426646404132,131
TMED9,ALL,0.025958659868694042,0.6047124820751473,400
TMED9,NCI,-0.02816526915160318,0.717045714839939,168
TMED9,AD,0.035089685106305696,0.6907089114070588,131
