TMED,r2_null,r2_tmed,delta_r2,aic_null,aic_tmed,delta_aic,beta,p,n
TMED2,0.07175864989968672,0.08243563797376885,0.010676988074082128,91.26945689381027,88.66497591088786,-2.6044809829224107,0.9635452164380859,0.03331941052409976,398
TMED10,0.07175864989968672,0.07894386908596385,0.007185219186277125,91.26945689381027,90.17668068459857,-1.0927762092117064,1.1040324219211233,0.08112235242046889,398
TMED9,0.07175864989968672,0.07201007381351465,0.0002514239138279306,91.26945689381027,93.16163981347786,1.8921829196675901,0.21998322105517695,0.7446794008038293,398
