TMED,Outcome,r2,beta,se,p,n,FDR
TMED2,ceradsc,0.10184074403263588,0.3697610923851865,0.14130156565652124,0.009090253385180151,633,0.009090253385180151
TMED10,ceradsc,0.11210953649880617,0.6648301026148562,0.1767780426630009,0.0001852909618863246,633,0.0005558728856589738
TMED9,ceradsc,0.10520890363215585,0.5172756099136195,0.17033360144292542,0.0024904771036748344,633,0.003735715655512252
