TMED,Outcome,Priority,rho,p,n,FDR
TMED2,ceradsc,primary,0.12206731347702685,0.0020767401320472383,634,0.006230220396141715
TMED2,braaksc,secondary,-0.052594047508746945,0.1859729565464129,634,0.2789594348196194
TMED2,cogdx,exploratory,-0.1176629658299044,0.0030058006710916092,634,0.0067630515099561216
TMED10,ceradsc,primary,0.015952349544309633,0.6884917227551388,634,0.7473348452766524
TMED10,braaksc,secondary,0.03760144170357379,0.34453328475743744,634,0.4429713661167053
TMED10,cogdx,exploratory,-0.012819203647583766,0.7473348452766524,634,0.7473348452766524
TMED9,ceradsc,primary,0.160831536891018,4.738678230640787e-05,634,0.00040424088757431184
TMED9,braaksc,secondary,-0.15491120555825888,8.983130834984707e-05,634,0.00040424088757431184
TMED9,cogdx,exploratory,-0.11089406432747144,0.005184241163131179,634,0.009331634093636122
