TMED,model,r2,beta,se,p,n
TMED2,demo+batch,0.08243563797376885,0.9635452164380859,0.4511520717188181,0.03331941052409976,398
TMED2,demo+batch+cells,0.09015964862769021,0.3227886912455703,0.6676130493730125,0.6294931048894228,151
TMED10,demo+batch,0.07894386908596385,1.1040324219211233,0.6313378578274179,0.08112235242046889,398
TMED10,demo+batch+cells,0.09052556218342533,0.4412593139415843,0.818562409368123,0.5906913344051873,151
TMED9,demo+batch,0.07201007381351465,0.21998322105517695,0.6750172368647708,0.7446794008038293,398
TMED9,demo+batch+cells,0.09368661244055754,-0.7909858584026266,0.8936767405814988,0.37761406263704955,151
