TMED,model,beta_prot,p_prot,r2,aic,n
TMED2,protein+cov,0.3227886912455703,0.6294931048894228,0.09015964862769021,50.87487591612688,151
TMED2,protein+RNA+cov,0.40019748146278294,0.5469724387431913,0.11289757486306029,49.05326270478731,151
TMED10,protein+cov,0.4412593139415843,0.5906913344051873,0.09052556218342533,50.81413552310707,151
TMED10,protein+RNA+cov,0.4067380770317401,0.6190969234221394,0.10269587026755211,50.779858220470565,151
TMED9,protein+cov,-0.7909858584026266,0.37761406263704955,0.09368661244055754,50.2883923009653,151
TMED9,protein+RNA+cov,-0.8076293093731751,0.36920412314651824,0.09552158035269676,51.98236015693517,151
