measure,model,beta,se,ci_lo,ci_hi,p,n
RNA,~Braak,-0.039081765728586675,0.018767371570439322,-0.07586581400664774,-0.0022977174505256007,0.03770723997568338,633
RNA,~AD,-0.08986831148369301,0.0464734091598291,-0.18095619343695804,0.0012195704695720233,0.053592668497125136,633
Protein,~Braak,0.009662485933371963,0.005936684033593458,-0.001973414772471215,0.02129838663921514,0.10441332222610393,398
Protein,~AD,0.022695021521193137,0.014852341005338355,-0.006415566849270037,0.05180560989165631,0.12730823925093104,398
