gene,raw_beta,raw_p,adj_beta,adj_p,cell_beta,cell_p,fdr
BACE1,-0.03783081094461289,0.03125602334864649,-0.039081765728586675,0.03770723997568338,-0.03733602523807505,0.0006768316894982342,0.11312171992705014
EIF2AK3,0.022517090342569344,0.20759023020319955,0.012731389457614456,0.5062510404051164,-0.025308969602959995,0.06420645498430742,0.6039030802061897
GSK3B,-0.026665943757498214,0.1909085387496319,-0.02508986972545295,0.2521704233104754,-0.0277350808427591,0.009782059060821977,0.37825563496571313
ATF4,,,0.0005919775821882885,0.9667091037467626,0.007878080143522252,0.5555580826411664,0.9667091037467626
ASNS,,,-0.05282795294293558,0.02574199239961588,-0.041342358529020656,3.479888653349405e-05,0.11312171992705014
TRIB3,,,-0.030348981753441036,0.12480407374071069,-0.007145832304105364,0.6835953309481275,0.22464733273327922
SLC7A5,,,0.010361936729757423,0.5368027379610575,0.01089160018075542,0.5044581502650219,0.6039030802061897
DDIT3,,,-0.031182165901695674,0.08434128031854923,-0.017051012979031152,0.2552932144205877,0.18976788071673578
PPP1R15A,,,-0.054138550355184466,0.014221297616936468,-0.013848728883437599,0.4283332147519527,0.11312171992705014
