ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,VPS35,AP1G1,ADAM10,GGA3,BIN1,ITPR1,AP2A1,SEC24C,RTN4,RTN3,MFN2,RAB1B,RAB1A,HSPA9,SYK,SEC23A,CLU,APOE,ARF6,SORT1,VPS26A,APP,SEC31A,ADAM17,APBA2,COPB1,MIA3,COPG1,COPB2,TMED2,SNX6,APBA1,VDAC1,OSBP,ITPR2,PSEN1,GGA1,NCSTN,AP4B1,AP2B1,COPZ1,TMED10,ABCA7,TMED9,HSPA5,EIF2S1,AP3B2,COPG2,PLG,LRP1,IDE,COPE,SEC23B,BACE1,VPS29,SAR1A,COPA,PREB,MAPK14,SREBF2,AP4E1,SAR1B,SEC24A,SEC24D,MAP2K3,SEC24B,MAPKAPK2,AP4S1,SORL1,SIGMAR1,GGA2,SEC13,ECE1,GORASP1,SNX4,PICALM,AP4M1,VLDLR,SEC16A,PLCG2
1,HSPA9,MFN2,TMED2,ADAM10,MIA3,SEC13,AP1G1,SEC31A,COPG1,LRP1,CLU,VPS26A,APOE,COPB2,HSPA5,NCSTN,SNX6,GGA3,OSBP,AP2A1,RTN3,AP3B2,APBA2,EIF2S1,TMED9,SEC24A,SEC23A,SYK,VPS35,TMED10,APP,SEC24C,ARF6,RTN4,COPE,ADAM17,ITPR2,VDAC1,COPB1,ITPR1,VPS29,AP4M1,PLG,PREB,SORL1,BIN1,SEC23B,BACE1,SORT1,ABCA7,SAR1A,APBA1,COPA,PICALM,IDE,MAP2K3,RAB1B,AP4E1,COPZ1,SREBF2,SAR1B,AP2B1,AP4B1,RAB1A,SEC24D,COPG2,SEC16A,MAPK14,ECE1,GORASP1,AP4S1,SNX4,GGA2,SIGMAR1,SEC24B,PLCG2,GGA1,MAPKAPK2,PSEN1,VLDLR
2,ADAM10,VDAC1,MFN2,SEC23A,VPS35,TMED10,SEC24C,TMED2,HSPA5,GGA3,AP2A1,COPB1,SEC13,COPG1,MIA3,SORT1,RTN4,AP3B2,SYK,HSPA9,SNX6,PREB,NCSTN,VPS26A,COPG2,ITPR2,SEC31A,ADAM17,BIN1,MAP2K3,TMED9,SAR1A,RTN3,COPB2,AP1G1,ARF6,APBA1,ITPR1,PICALM,SEC23B,BACE1,OSBP,IDE,GGA1,RAB1A,APP,SEC24D,APOE,VPS29,RAB1B,PLG,CLU,SORL1,COPZ1,APBA2,MAPKAPK2,COPA,SEC24A,ABCA7,GGA2,ECE1,LRP1,AP4S1,AP2B1,COPE,GORASP1,EIF2S1,AP4M1,SNX4,SAR1B,MAPK14,AP4B1,SEC24B,SREBF2,AP4E1,VLDLR,SIGMAR1,SEC16A,PLCG2,PSEN1
3,VPS29,GGA3,AP2A1,AP2B1,SORT1,ADAM10,APBA2,MFN2,SEC31A,ITPR2,RTN4,SNX6,COPG2,RTN3,VDAC1,RAB1A,NCSTN,COPE,MIA3,TMED10,VPS26A,COPG1,CLU,APP,AP1G1,SEC24C,SEC13,COPZ1,EIF2S1,HSPA5,RAB1B,APOE,ADAM17,ITPR1,IDE,COPB1,SYK,LRP1,OSBP,TMED9,BIN1,GGA2,COPA,TMED2,SEC23B,COPB2,BACE1,APBA1,SAR1A,ABCA7,MAP2K3,AP3B2,AP4M1,HSPA9,VPS35,SEC24B,SORL1,SEC24A,SEC23A,PREB,MAPKAPK2,GORASP1,SAR1B,PICALM,MAPK14,AP4B1,PLG,ECE1,ARF6,AP4S1,GGA1,SEC24D,SNX4,PSEN1,VLDLR,SEC16A,SREBF2,PLCG2,SIGMAR1,AP4E1
4,AP1G1,AP2A1,CLU,APOE,MAP2K3,RAB1B,RAB1A,APP,SORL1,COPG2,ITPR2,ADAM17,TMED9,TMED10,VPS29,AP2B1,VPS26A,VPS35,SAR1A,ITPR1,GGA3,HSPA9,HSPA5,SNX6,RTN4,BIN1,COPZ1,SORT1,COPB2,AP3B2,PREB,RTN3,COPB1,VDAC1,LRP1,MFN2,GGA2,EIF2S1,COPG1,PICALM,OSBP,SYK,SEC24C,ABCA7,COPA,SEC31A,BACE1,IDE,APBA1,SEC13,NCSTN,COPE,AP4B1,ARF6,SEC24D,SAR1B,SEC23B,GGA1,SEC24A,MIA3,GORASP1,AP4M1,SREBF2,MAPKAPK2,PSEN1,PLG,SEC23A,MAPK14,AP4S1,SEC16A,ADAM10,SNX4,APBA2,SIGMAR1,AP4E1,ECE1,SEC24B,VLDLR,TMED2,PLCG2
5,GGA3,VPS35,AP2A1,ADAM10,MFN2,RAB1A,SNX6,CLU,BIN1,HSPA9,SORT1,APBA2,COPG1,ARF6,MIA3,COPB1,ITPR1,SEC13,APOE,COPB2,TMED2,VDAC1,AP1G1,APP,NCSTN,RTN3,ITPR2,VPS29,ADAM17,COPG2,RTN4,HSPA5,RAB1B,SORL1,EIF2S1,SEC24C,ABCA7,APBA1,AP4M1,TMED9,TMED10,SAR1A,AP3B2,PREB,OSBP,COPE,AP2B1,GGA2,SEC31A,COPZ1,PLG,COPA,BACE1,SEC24A,SEC23A,PICALM,MAPKAPK2,SREBF2,GGA1,AP4B1,IDE,MAPK14,SYK,SEC23B,ECE1,AP4S1,MAP2K3,SEC24D,SAR1B,SEC24B,LRP1,SNX4,VPS26A,GORASP1,AP4E1,PSEN1,SEC16A,VLDLR,PLCG2,SIGMAR1
6,AP1G1,SORT1,ITPR1,VPS29,HSPA5,AP2A1,HSPA9,VPS26A,TMED2,TMED10,SEC24C,SEC31A,AP3B2,RAB1A,AP2B1,BIN1,SEC23A,VPS35,RTN3,EIF2S1,COPG2,ITPR2,MIA3,COPG1,SYK,SNX6,APBA1,ADAM10,RTN4,APP,ADAM17,MFN2,IDE,COPE,SEC24D,GGA1,SORL1,OSBP,SEC24A,COPZ1,COPB1,ARF6,COPB2,SAR1A,NCSTN,SEC13,VDAC1,LRP1,PLG,PREB,PICALM,COPA,RAB1B,AP4B1,TMED9,ABCA7,APOE,AP4M1,CLU,GGA3,SAR1B,SEC23B,MAPKAPK2,BACE1,AP4E1,AP4S1,MAP2K3,GORASP1,GGA2,SEC16A,SNX4,APBA2,SEC24B,ECE1,MAPK14,PLCG2,SREBF2,PSEN1,SIGMAR1,VLDLR
7,VDAC1,NCSTN,VPS29,VPS26A,SEC31A,RAB1A,VPS35,BIN1,ADAM10,GGA3,CLU,APOE,RTN3,HSPA9,SEC13,COPE,COPB2,RTN4,ITPR1,ARF6,APP,BACE1,SORL1,AP3B2,SORT1,MIA3,TMED2,APBA1,COPG1,SNX6,AP2B1,COPZ1,COPG2,AP2A1,ITPR2,ABCA7,APBA2,PLG,SEC24A,SEC23A,COPA,HSPA5,SYK,SEC24C,COPB1,IDE,RAB1B,LRP1,SEC24D,OSBP,SAR1A,PICALM,AP4B1,ADAM17,PSEN1,TMED10,MAP2K3,GGA1,TMED9,AP4M1,PREB,MFN2,EIF2S1,AP4S1,AP4E1,SAR1B,ECE1,MAPK14,SNX4,GGA2,GORASP1,SEC23B,AP1G1,SIGMAR1,SEC24B,MAPKAPK2,PLCG2,SREBF2,VLDLR,SEC16A
8,VPS29,VPS26A,MFN2,TMED2,AP3B2,COPB1,TMED10,ARF6,RAB1A,COPE,APBA1,COPG1,VPS35,ADAM10,COPB2,ITPR1,RTN4,GGA3,MIA3,ADAM17,AP2B1,COPZ1,SYK,SEC23A,SEC24C,HSPA9,SORT1,AP2A1,SNX6,HSPA5,BIN1,AP1G1,PREB,ITPR2,APP,PLG,APBA2,COPA,RTN3,LRP1,EIF2S1,SEC24A,PICALM,GGA1,NCSTN,SEC13,ABCA7,APOE,CLU,COPG2,OSBP,TMED9,BACE1,SEC23B,VDAC1,SAR1A,SEC31A,RAB1B,AP4M1,MAPK14,SAR1B,IDE,SORL1,PSEN1,AP4S1,AP4B1,SREBF2,GGA2,ECE1,SEC24D,MAPKAPK2,MAP2K3,SIGMAR1,SEC16A,SEC24B,GORASP1,SNX4,PLCG2,VLDLR,AP4E1
9,RTN3,RTN4,COPG1,AP2B1,IDE,GGA3,BIN1,EIF2S1,COPB1,SYK,SAR1B,SEC24C,SEC31A,ADAM10,PREB,APP,CLU,VPS26A,COPB2,ITPR2,COPG2,VPS29,ARF6,RAB1A,AP3B2,SORL1,APOE,COPZ1,MIA3,HSPA9,APBA2,SEC24D,HSPA5,COPA,MFN2,SNX6,VPS35,SEC24A,PLG,NCSTN,VDAC1,AP2A1,SEC23A,COPE,APBA1,SORT1,RAB1B,AP4B1,ADAM17,TMED9,SEC23B,BACE1,TMED10,ITPR1,TMED2,PSEN1,ABCA7,AP1G1,PICALM,GGA2,AP4S1,SREBF2,SAR1A,LRP1,MAP2K3,SEC13,AP4E1,ECE1,GGA1,SNX4,SEC16A,MAPKAPK2,AP4M1,MAPK14,SEC24B,OSBP,GORASP1,VLDLR,SIGMAR1,PLCG2
