ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,IDE,HSPA5,COPA,AP1G1,AP2A1,COPB2,ECE1,HSPA9,SEC31A,SEC23B,CLU,APBA2,APOE,SEC24A,BACE1,PLG,RTN3,PREB,SREBF2,AP3B2,PLCG2,SEC16A,PICALM,VPS35,SORT1,GGA2,EIF2S1,COPE,OSBP,PSEN1,COPZ1,ITPR2,SAR1B,VPS29,ADAM10,SEC24D,MIA3,AP2B1,SEC24C,AP4S1,MAPK14,TMED9,TMED10,MAPKAPK2,SYK,NCSTN,VLDLR,SEC23A,SEC13,SNX4,GGA1,RTN4,GGA3,BIN1,COPG2,SORL1,SIGMAR1,RAB1A,SNX6,ADAM17,SEC24B,SAR1A,VPS26A,RAB1B,AP4B1,LRP1,AP4E1,APBA1,VDAC1,GORASP1,TMED2,ITPR1,COPB1,ABCA7,MAP2K3,AP4M1,MFN2,COPG1,ARF6,APP
1,AP3B2,AP1G1,ITPR2,SNX4,APOE,AP2A1,GGA2,BIN1,SEC31A,IDE,PLG,COPE,OSBP,VPS29,SEC13,CLU,AP4E1,COPA,SEC24A,SEC23B,PLCG2,SREBF2,SEC16A,COPG2,AP2B1,ECE1,GORASP1,RTN4,TMED9,COPZ1,RAB1A,SEC24C,LRP1,PSEN1,SEC24D,SAR1A,RTN3,APBA2,NCSTN,MAPKAPK2,SORT1,VLDLR,MIA3,HSPA9,EIF2S1,SYK,COPB2,BACE1,PICALM,COPG1,VPS35,APBA1,PREB,ADAM10,SNX6,SAR1B,AP4M1,HSPA5,ADAM17,VDAC1,TMED2,ARF6,APP,AP4S1,ITPR1,SEC24B,SORL1,SIGMAR1,COPB1,GGA1,VPS26A,RAB1B,MAP2K3,ABCA7,SEC23A,AP4B1,MAPK14,GGA3,MFN2,TMED10
2,COPB2,HSPA9,IDE,APBA2,PSEN1,GGA1,COPE,OSBP,RTN3,AP2A1,SREBF2,HSPA5,ADAM10,APBA1,PLG,SIGMAR1,AP3B2,SNX4,SAR1A,PREB,AP4E1,APOE,RTN4,VPS35,COPG2,BACE1,PLCG2,SEC31A,ECE1,SAR1B,GORASP1,GGA2,COPA,EIF2S1,SORT1,SEC13,AP2B1,VLDLR,SNX6,ADAM17,AP4S1,VPS26A,COPZ1,VDAC1,RAB1A,VPS29,CLU,BIN1,NCSTN,SEC23B,SEC24C,MAPK14,SEC16A,SEC24A,LRP1,MFN2,SEC24D,MAPKAPK2,AP1G1,ITPR2,SEC24B,ARF6,ITPR1,PICALM,RAB1B,COPB1,SORL1,COPG1,SYK,SEC23A,MIA3,TMED2,GGA3,ABCA7,APP,AP4M1,TMED10,AP4B1,TMED9,MAP2K3
3,BACE1,COPA,BIN1,HSPA5,IDE,AP2B1,AP2A1,SEC13,VPS29,GGA2,SEC24A,PSEN1,SEC24C,SREBF2,SEC16A,SAR1A,OSBP,AP4S1,SEC23B,CLU,GGA1,AP4E1,SEC24D,SEC31A,MAPKAPK2,APOE,PLG,TMED9,PREB,SNX6,RTN4,PLCG2,SIGMAR1,TMED10,RTN3,SORL1,ITPR2,VPS35,AP3B2,AP1G1,COPZ1,APBA2,SORT1,VDAC1,RAB1B,RAB1A,SYK,VLDLR,PICALM,NCSTN,COPG1,VPS26A,ADAM17,MFN2,ADAM10,APBA1,GORASP1,COPG2,COPE,MAPK14,ARF6,MAP2K3,ECE1,MIA3,HSPA9,TMED2,EIF2S1,AP4M1,GGA3,SNX4,ABCA7,AP4B1,ITPR1,APP,COPB1,LRP1,SEC23A,SAR1B,SEC24B,COPB2
4,HSPA9,RTN3,COPB2,SEC23B,IDE,AP2A1,VPS35,RTN4,SREBF2,HSPA5,VPS29,GGA1,CLU,PREB,PLG,APOE,BACE1,ECE1,SAR1A,SEC31A,AP4E1,RAB1A,SEC13,COPA,COPE,SEC24D,GGA2,SEC24A,SNX4,TMED10,SORT1,PSEN1,OSBP,APBA1,AP3B2,MAPK14,ADAM10,GGA3,GORASP1,AP4S1,SEC24C,MAPKAPK2,PLCG2,SYK,TMED9,SNX6,ITPR2,PICALM,AP1G1,NCSTN,VLDLR,BIN1,RAB1B,EIF2S1,SAR1B,SIGMAR1,VDAC1,COPG1,COPG2,COPZ1,AP2B1,AP4B1,APBA2,TMED2,SEC24B,APP,MFN2,VPS26A,ITPR1,SEC23A,SEC16A,LRP1,SORL1,ADAM17,ABCA7,AP4M1,MIA3,MAP2K3,COPB1,ARF6
5,PLG,APOE,VPS29,SEC13,ECE1,COPB2,AP3B2,BACE1,SEC24D,PICALM,SNX4,RTN3,RAB1A,SEC24A,GGA3,PREB,SREBF2,AP2A1,VPS35,COPE,HSPA5,ADAM10,SEC31A,IDE,CLU,APBA2,COPA,TMED9,GGA2,SEC24C,BIN1,PSEN1,PLCG2,MAPKAPK2,AP2B1,SNX6,VLDLR,GGA1,APBA1,TMED10,HSPA9,RTN4,AP4S1,NCSTN,SYK,ITPR2,SEC23B,MIA3,GORASP1,COPG2,SORT1,OSBP,VDAC1,SIGMAR1,MFN2,COPZ1,VPS26A,AP4E1,SORL1,TMED2,RAB1B,ADAM17,SAR1A,AP1G1,ARF6,SAR1B,AP4M1,COPB1,EIF2S1,ITPR1,COPG1,APP,AP4B1,SEC24B,SEC16A,SEC23A,LRP1,MAP2K3,ABCA7,MAPK14
6,SEC13,RAB1A,AP2B1,CLU,COPA,SEC24A,PSEN1,APBA1,HSPA9,EIF2S1,AP2A1,SNX6,RTN4,VPS29,PICALM,SORT1,OSBP,COPE,GGA2,GGA1,BACE1,IDE,SEC24D,HSPA5,GGA3,SAR1A,PLCG2,ECE1,APBA2,PLG,ADAM10,SEC16A,GORASP1,COPG2,RTN3,SEC23B,SNX4,APOE,SEC31A,VPS35,SEC24C,MFN2,AP4S1,PREB,SIGMAR1,COPZ1,COPB2,BIN1,TMED2,ADAM17,MIA3,MAPKAPK2,ITPR2,SAR1B,AP3B2,AP1G1,RAB1B,TMED10,COPG1,SYK,AP4E1,MAPK14,ITPR1,TMED9,SREBF2,NCSTN,AP4B1,VDAC1,LRP1,VPS26A,SEC23A,APP,COPB1,SEC24B,MAP2K3,SORL1,AP4M1,ARF6,VLDLR,ABCA7
7,AP4S1,SEC24D,SIGMAR1,RTN3,COPB2,SAR1A,SEC24A,AP2A1,AP2B1,ADAM17,GGA1,RTN4,PLG,VLDLR,GGA3,RAB1A,ADAM10,MIA3,SEC31A,SAR1B,COPE,SEC16A,ECE1,APBA1,HSPA5,BACE1,PLCG2,TMED9,AP3B2,GGA2,APOE,VDAC1,NCSTN,SORT1,RAB1B,VPS29,AP1G1,SEC13,SEC24C,SREBF2,OSBP,PREB,SNX4,PICALM,APBA2,SYK,SEC23B,AP4E1,MAPKAPK2,COPA,IDE,HSPA9,EIF2S1,CLU,MAP2K3,COPG2,VPS35,AP4M1,ITPR1,MAPK14,SEC24B,COPG1,BIN1,COPZ1,TMED2,GORASP1,SNX6,MFN2,ITPR2,AP4B1,APP,VPS26A,SEC23A,COPB1,TMED10,ABCA7,ARF6,PSEN1,LRP1,SORL1
8,ECE1,HSPA9,RTN3,GGA2,SEC16A,COPB2,APOE,PLG,COPA,SEC24C,HSPA5,ADAM17,AP1G1,VPS35,CLU,AP3B2,COPG1,SNX4,COPZ1,VPS29,PREB,SREBF2,SEC24A,SEC13,PLCG2,APBA2,AP2B1,BACE1,GORASP1,GGA1,BIN1,AP4E1,RTN4,TMED9,SIGMAR1,ADAM10,VLDLR,SEC31A,AP2A1,SYK,SEC23A,NCSTN,GGA3,IDE,COPE,TMED10,SORT1,VDAC1,AP4S1,SEC24D,ITPR2,RAB1A,SEC23B,RAB1B,SAR1B,APBA1,MAPKAPK2,SNX6,SAR1A,ITPR1,EIF2S1,OSBP,MIA3,VPS26A,PSEN1,MAPK14,AP4M1,ARF6,APP,TMED2,SEC24B,MFN2,ABCA7,PICALM,LRP1,COPB1,MAP2K3,SORL1,AP4B1,COPG2
9,HSPA9,RTN3,COPA,IDE,SEC13,VPS29,SEC24A,PSEN1,BACE1,PREB,SREBF2,APBA2,AP2A1,AP3B2,AP1G1,PLCG2,BIN1,SORT1,HSPA5,OSBP,CLU,RTN4,RAB1A,MAPKAPK2,PLG,APOE,COPB2,SEC31A,GGA2,AP4E1,VDAC1,GGA1,TMED10,ADAM10,SEC23B,GGA3,COPG1,TMED9,SEC24C,NCSTN,COPZ1,AP2B1,COPE,EIF2S1,LRP1,SORL1,ECE1,GORASP1,AP4S1,SIGMAR1,ITPR1,SNX4,SEC24D,VPS35,ADAM17,MAPK14,AP4B1,SAR1B,RAB1B,SEC16A,PICALM,MFN2,VLDLR,MIA3,SEC24B,ITPR2,TMED2,SYK,APBA1,MAP2K3,AP4M1,SEC23A,VPS26A,SAR1A,APP,SNX6,COPG2,ABCA7,COPB1,ARF6
10,HSPA9,CLU,HSPA5,GGA2,SNX4,IDE,ADAM10,BIN1,OSBP,MAPKAPK2,SEC24C,APBA2,PSEN1,COPB2,AP2A1,SEC16A,SAR1A,GGA1,SORT1,TMED9,PREB,SREBF2,ECE1,AP2B1,SEC23B,RTN3,EIF2S1,RTN4,SEC13,COPA,VPS29,VDAC1,PLG,APOE,AP4S1,LRP1,AP3B2,SEC24D,COPE,ITPR1,NCSTN,VPS35,AP4E1,SYK,COPG1,COPB1,GORASP1,PLCG2,PICALM,VLDLR,SEC24A,VPS26A,MAPK14,RAB1B,BACE1,AP1G1,RAB1A,MIA3,SAR1B,COPZ1,SEC31A,ARF6,ITPR2,MAP2K3,SIGMAR1,MFN2,SEC24B,APP,SORL1,GGA3,AP4B1,ABCA7,SNX6,ADAM17,AP4M1,TMED10,COPG2,SEC23A,TMED2,APBA1
11,PREB,SREBF2,HSPA5,CLU,SNX4,IDE,COPA,AP1G1,VDAC1,RAB1A,TMED9,GGA2,ADAM17,COPZ1,RTN3,COPB2,PICALM,AP2A1,GGA1,PSEN1,SEC31A,PLG,APOE,SEC13,SEC24C,SNX6,APBA2,VPS26A,SAR1A,AP2B1,AP3B2,BIN1,OSBP,SAR1B,ITPR2,MAPKAPK2,SYK,RTN4,VPS35,AP4E1,HSPA9,SEC24D,ECE1,SEC16A,NCSTN,SEC23B,COPE,EIF2S1,PLCG2,SIGMAR1,APBA1,VLDLR,ADAM10,SEC24B,RAB1B,COPG2,TMED2,SEC24A,BACE1,SEC23A,SORL1,SORT1,AP4B1,ITPR1,AP4M1,VPS29,MAPK14,APP,MIA3,ARF6,ABCA7,GORASP1,MAP2K3,COPG1,TMED10,GGA3,AP4S1,LRP1,MFN2,COPB1
