ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
10,RAB1B,VPS35,SEC23A,TMED2,SAR1B,COPG1,SYK,ABCA7,SAR1A,GGA1,MAP2K3,BACE1,RTN3,GORASP1,NCSTN,TMED10,CLU,MAPK14,SEC16A,SEC31A,ECE1,SEC24C,SORT1,COPG2,SREBF2,SNX6,EIF2S1,SIGMAR1,SEC23B,VLDLR,IDE,SORL1,GGA2,SEC24D,COPB1,PLCG2,OSBP,COPE,COPZ1,GGA3,PLG,AP4S1,SEC24B,APBA1,APBA2,ARF6,RTN4,ADAM10,AP4M1,VPS26A,MIA3,COPB2,SNX4,AP4E1,COPA,PSEN1,HSPA9,SEC24A,PICALM,PREB,HSPA5,AP1G1,MAPKAPK2,AP4B1,ITPR1,BIN1,ADAM17,VDAC1,LRP1,ITPR2,APP,VPS29,MFN2,SEC13,APOE,RAB1A,AP2A1,AP2B1,AP3B2,TMED9
11,MFN2,VPS29,VPS35,SEC16A,VDAC1,COPG2,PICALM,OSBP,COPB1,ABCA7,SORL1,AP4E1,SNX6,MAP2K3,COPZ1,GORASP1,MIA3,EIF2S1,SAR1A,PLCG2,IDE,SYK,SNX4,BACE1,COPG1,SIGMAR1,TMED10,GGA1,COPA,LRP1,VLDLR,NCSTN,RTN4,SEC31A,AP4B1,GGA2,HSPA9,AP1G1,COPB2,MAPK14,COPE,VPS26A,SEC24C,RAB1B,SEC24B,ARF6,GGA3,PLG,ECE1,SEC23B,AP4S1,SEC13,PSEN1,APBA2,SORT1,SEC24D,ADAM10,APBA1,SEC23A,AP4M1,RAB1A,CLU,HSPA5,BIN1,APP,SREBF2,SEC24A,RTN3,TMED2,ADAM17,ITPR2,ITPR1,AP2B1,TMED9,APOE,SAR1B,AP3B2,MAPKAPK2,AP2A1,PREB
12,PLG,COPG1,SAR1A,AP4S1,COPA,SEC23B,IDE,COPB2,APBA1,PICALM,ABCA7,COPB1,HSPA5,SORL1,PLCG2,SEC24C,AP4E1,VPS26A,EIF2S1,SYK,BACE1,SEC16A,NCSTN,SEC31A,MAP2K3,RTN4,VPS35,COPG2,SIGMAR1,GGA2,AP4B1,RAB1B,MIA3,MFN2,SEC24A,TMED10,SORT1,APBA2,SNX4,VDAC1,SEC24D,TMED2,GORASP1,OSBP,HSPA9,GGA1,VLDLR,SEC23A,RTN3,COPE,VPS29,MAPKAPK2,CLU,ECE1,BIN1,SEC24B,AP4M1,ARF6,AP1G1,ADAM17,SREBF2,COPZ1,ADAM10,AP2B1,PSEN1,TMED9,SAR1B,LRP1,ITPR1,SNX6,APP,ITPR2,AP2A1,SEC13,MAPK14,APOE,PREB,RAB1A,GGA3,AP3B2
13,LRP1,PICALM,SAR1B,SEC13,SEC31A,SEC16A,SORT1,AP4E1,TMED2,HSPA5,SAR1A,PLG,ABCA7,MAP2K3,GORASP1,SORL1,APBA1,SIGMAR1,SYK,AP4S1,SREBF2,SEC24D,SEC24C,BACE1,COPG2,EIF2S1,COPA,OSBP,SEC23B,PLCG2,GGA1,SNX4,AP4B1,RAB1A,COPB1,COPB2,SEC24A,VPS35,COPG1,ECE1,COPZ1,GGA2,RTN4,CLU,IDE,ADAM10,GGA3,ADAM17,MIA3,BIN1,ARF6,MFN2,VLDLR,HSPA9,APBA2,SEC23A,COPE,AP4M1,VPS26A,RTN3,NCSTN,SNX6,MAPKAPK2,AP1G1,TMED10,ITPR1,ITPR2,VPS29,VDAC1,RAB1B,PREB,APP,PSEN1,MAPK14,TMED9,AP2A1,SEC24B,AP2B1,APOE,AP3B2
14,HSPA5,SEC31A,OSBP,AP4B1,COPA,TMED2,SNX6,SAR1B,COPG2,COPB1,MAP2K3,AP4S1,CLU,SIGMAR1,SEC24C,RTN3,GGA2,MIA3,SORT1,RTN4,PLG,COPG1,AP4E1,SYK,MFN2,LRP1,COPE,MAPK14,VLDLR,RAB1B,SEC16A,APBA1,PLCG2,SEC24B,SAR1A,SEC24D,SEC23B,VPS35,HSPA9,SEC13,SEC24A,GORASP1,PSEN1,BACE1,APBA2,MAPKAPK2,VPS26A,GGA1,ARF6,ECE1,IDE,SORL1,SNX4,RAB1A,TMED10,AP4M1,GGA3,EIF2S1,SREBF2,NCSTN,PICALM,ITPR2,ADAM10,ABCA7,COPZ1,APOE,VDAC1,COPB2,APP,AP1G1,AP3B2,ITPR1,PREB,AP2B1,SEC23A,ADAM17,BIN1,TMED9,VPS29,AP2A1
15,SNX4,RAB1B,BACE1,HSPA5,GGA3,VLDLR,SEC31A,PREB,COPZ1,TMED2,COPB1,ABCA7,SNX6,COPE,SEC24C,MAPK14,COPG1,AP4E1,SORL1,RTN4,SEC16A,SAR1B,GORASP1,COPG2,SORT1,MAP2K3,NCSTN,TMED10,EIF2S1,GGA1,APBA2,COPA,AP4S1,COPB2,SIGMAR1,OSBP,SEC23A,SYK,CLU,AP4B1,BIN1,IDE,PSEN1,PLG,SAR1A,ECE1,ARF6,ADAM17,HSPA9,MIA3,VPS35,SREBF2,VDAC1,APBA1,RTN3,PLCG2,SEC24D,PICALM,AP4M1,ADAM10,SEC13,MFN2,ITPR1,AP1G1,SEC23B,RAB1A,GGA2,LRP1,ITPR2,SEC24A,VPS26A,VPS29,SEC24B,MAPKAPK2,AP3B2,AP2A1,APOE,TMED9,AP2B1,APP
16,SEC31A,COPG1,PLG,SEC23A,EIF2S1,SORL1,APBA2,SYK,SIGMAR1,MFN2,MAPK14,COPG2,SAR1A,COPB2,SEC24A,AP4S1,SEC24D,OSBP,BACE1,PLCG2,GGA1,SNX6,RAB1B,AP4B1,NCSTN,MIA3,COPB1,PSEN1,TMED10,GORASP1,SEC16A,GGA2,VLDLR,SREBF2,MAP2K3,ABCA7,SAR1B,RTN4,LRP1,HSPA5,ARF6,COPA,VDAC1,SNX4,SEC13,COPE,SEC24B,AP4E1,CLU,SEC23B,APBA1,SEC24C,ECE1,RAB1A,ADAM17,IDE,VPS26A,APP,ADAM10,COPZ1,GGA3,VPS35,PREB,TMED2,AP4M1,MAPKAPK2,HSPA9,SORT1,ITPR1,AP1G1,RTN3,BIN1,APOE,ITPR2,PICALM,AP3B2,AP2B1,AP2A1,VPS29,TMED9
17,RAB1B,IDE,OSBP,PSEN1,COPE,PLCG2,SNX6,ADAM17,SEC24D,SORT1,HSPA5,ABCA7,GGA1,AP4B1,CLU,BACE1,GORASP1,COPB1,VLDLR,PLG,MAP2K3,COPG2,AP4S1,NCSTN,SAR1A,SEC23A,TMED10,SEC31A,RTN4,SIGMAR1,SEC24A,SEC24B,COPG1,TMED2,MIA3,LRP1,APBA2,GGA2,SAR1B,COPB2,SEC16A,AP4E1,SEC13,SEC24C,MAPK14,SORL1,AP4M1,VPS35,SYK,HSPA9,SNX4,COPZ1,SREBF2,ADAM10,SEC23B,VPS26A,ARF6,MAPKAPK2,EIF2S1,APBA1,AP1G1,RAB1A,ECE1,ITPR2,BIN1,ITPR1,MFN2,APP,RTN3,PREB,COPA,GGA3,VPS29,APOE,PICALM,AP2A1,VDAC1,AP2B1,TMED9,AP3B2
18,GGA1,LRP1,MIA3,COPB1,AP4S1,APBA1,MAPK14,SIGMAR1,HSPA9,OSBP,GORASP1,RAB1A,SEC24D,SEC31A,GGA2,RTN4,AP4B1,SEC13,NCSTN,COPZ1,VDAC1,EIF2S1,SEC24C,SEC24B,ADAM10,SEC16A,IDE,SAR1A,PICALM,SAR1B,VPS26A,CLU,AP4E1,MAP2K3,COPG2,VPS35,SORT1,ADAM17,PLCG2,SYK,ABCA7,SEC23A,SNX4,ECE1,TMED10,VLDLR,COPG1,COPA,TMED2,BACE1,SEC24A,COPE,COPB2,SREBF2,ARF6,SEC23B,AP4M1,HSPA5,PLG,APBA2,TMED9,SNX6,PSEN1,PREB,AP1G1,RTN3,SORL1,VPS29,MFN2,BIN1,MAPKAPK2,ITPR1,AP2B1,APP,APOE,AP2A1,AP3B2,GGA3,ITPR2,RAB1B
19,COPG1,TMED10,SEC13,AP4E1,VPS29,PLCG2,PICALM,COPG2,RTN3,SEC23B,MAP2K3,COPA,RAB1B,IDE,SIGMAR1,SREBF2,VPS26A,SEC24B,APBA2,SAR1B,GGA2,SEC24D,GGA1,GORASP1,NCSTN,SAR1A,OSBP,SYK,SORL1,AP4B1,PLG,APBA1,VLDLR,AP4S1,EIF2S1,ECE1,MIA3,LRP1,GGA3,SEC24A,SNX4,PSEN1,ABCA7,COPB1,VDAC1,SEC23A,HSPA9,RTN4,SEC31A,RAB1A,MFN2,SEC24C,SEC16A,BACE1,AP4M1,AP1G1,COPB2,PREB,COPZ1,HSPA5,MAPK14,SORT1,BIN1,COPE,ARF6,TMED2,AP2A1,ITPR1,CLU,ITPR2,TMED9,APOE,ADAM10,VPS35,ADAM17,MAPKAPK2,APP,AP2B1,SNX6,AP3B2
20,SORT1,SEC31A,COPB1,PSEN1,TMED2,EIF2S1,BACE1,AP4E1,SEC24A,COPG1,GGA1,SNX4,COPB2,RAB1B,SEC23A,SORL1,AP4S1,APBA1,CLU,MIA3,OSBP,GGA2,AP4M1,SIGMAR1,ARF6,SEC23B,PICALM,VLDLR,SEC16A,COPE,PLCG2,SAR1B,VDAC1,GORASP1,SEC24D,SYK,MAP2K3,COPG2,VPS35,COPZ1,RTN4,PLG,AP4B1,IDE,SAR1A,SNX6,ABCA7,TMED10,COPA,MFN2,BIN1,ADAM10,AP1G1,RTN3,SEC24C,SEC13,MAPK14,ECE1,NCSTN,APOE,SREBF2,ITPR1,HSPA9,HSPA5,LRP1,ITPR2,MAPKAPK2,GGA3,PREB,VPS29,AP2B1,ADAM17,APP,APBA2,SEC24B,RAB1A,AP2A1,TMED9,AP3B2,VPS26A
21,HSPA5,OSBP,VPS29,NCSTN,APBA2,AP4S1,PLCG2,APBA1,GGA1,RAB1B,COPA,AP4B1,COPB1,SREBF2,SAR1B,SIGMAR1,SORL1,BACE1,COPG1,SEC13,COPG2,ABCA7,COPZ1,SYK,SEC16A,LRP1,EIF2S1,GGA3,BIN1,PLG,SAR1A,COPE,ADAM17,SEC24D,SEC24B,AP4E1,TMED2,SORT1,CLU,SEC24C,VPS35,PSEN1,GORASP1,SEC23B,SNX6,ARF6,IDE,SEC31A,MIA3,MAP2K3,MAPK14,RTN4,GGA2,SNX4,AP4M1,AP1G1,ECE1,COPB2,SEC23A,RAB1A,HSPA9,APP,MAPKAPK2,VPS26A,ITPR1,MFN2,PICALM,ADAM10,VLDLR,SEC24A,ITPR2,PREB,AP2A1,AP2B1,VDAC1,TMED10,RTN3,TMED9,APOE,AP3B2
22,RAB1B,APBA1,HSPA5,COPB1,VPS35,SIGMAR1,SNX6,AP4E1,MIA3,SEC16A,SYK,SORL1,SEC24D,VLDLR,PLG,VDAC1,SEC23B,SAR1A,PLCG2,AP4S1,NCSTN,SAR1B,SEC24C,VPS26A,AP4B1,PSEN1,ABCA7,SEC23A,MAPK14,COPA,GGA2,RTN4,OSBP,PICALM,GORASP1,BACE1,COPG1,COPE,COPG2,CLU,SEC31A,GGA1,HSPA9,TMED10,BIN1,APBA2,MAP2K3,SORT1,ADAM10,COPZ1,SNX4,ECE1,AP4M1,ARF6,TMED2,COPB2,IDE,ADAM17,LRP1,RAB1A,MAPKAPK2,SREBF2,ITPR1,SEC24B,GGA3,EIF2S1,AP2B1,SEC13,APP,SEC24A,AP1G1,RTN3,ITPR2,PREB,AP3B2,TMED9,VPS29,APOE,MFN2,AP2A1
