gene,M1_beta,M1_p,M2_beta,M2_p,M3_beta,M3_p
TMED9,0.01447999824653588,0.006266927540852875,0.013124331833814099,0.014068515617710253,0.0024119451025322106,0.5462052197524159
TMED10,0.01823958100862847,0.013360712968033409,0.013256183363151746,0.07810974886556939,0.002161398061882094,0.7043238204168311
TMED2,0.014455321744676846,0.07902935400155296,0.012332693859164322,0.1544734950984327,-0.006326501036834095,0.247048904156293
