cohort,gene,raw_beta,raw_p,adj_beta,adj_p,path_beta,path_p,full_beta,full_p,n_raw,n_full,fdr
primary,TMED9,0.01447999824653588,0.006266927540852875,0.013225355368891545,0.0136806972688572,0.013124331833814099,0.014068515617710253,0.0024119451025322106,0.5462052197524159,110.0,110,0.041042091806571604
primary,TMED10,0.01823958100862847,0.013360712968033409,0.015767115984990858,0.03485959228274823,0.013256183363151746,0.07810974886556939,0.002161398061882094,0.7043238204168311,110.0,110,0.05228938842412235
primary,TMED2,0.014455321744676846,0.07902935400155296,0.012634372830422005,0.1345749432501425,0.012332693859164322,0.1544734950984327,-0.006326501036834095,0.247048904156293,110.0,110,0.1345749432501425
strict_NCI,TMED9,,,,,,,0.0035872969406687116,0.5733191235496311,,59,
strict_NCI,TMED10,,,,,,,0.008399278896897474,0.37470027916498755,,59,
strict_NCI,TMED2,,,,,,,-0.002979310282067925,0.724159849144639,,59,
