gene,cell_class,beta_no_cells,p_no_cells,beta_with_cells,p_with_cells,pct_change
GFAP,Astrocyte,0.12683844867864955,1.0686132225891786e-05,0.02795144840705467,0.05990388732142197,-77.96295311221377
AQP4,Astrocyte,0.06019564877861347,0.07030166166460153,-0.031577541107061034,0.05990388732141805,-152.4581788680381
S100B,Astrocyte,-0.030798245322770184,0.13265047421367168,-0.08010111460892959,2.914449920534421e-06,160.08337088512027
VIM,Astrocyte,0.06142046515360182,0.0025737311307923237,0.0037336790521366415,0.7883011027148701,-93.9211156366215
AIF1,Microglia,-0.04384684695103219,0.1868271403474706,-0.06802826241403245,0.00031639539048951363,55.149724882169686
CSF1R,Microglia,0.012864445582816995,0.18532224562888294,0.01958578189218565,0.0003163953904895602,52.247384203998074
TMEM119,Microglia,0.0543916344869897,0.04869510121723059,0.03553037563721645,0.11338340997893641,-34.676764226095834
P2RY12,Microglia,-0.048289156443222646,0.2421701960792082,-0.0642433289337118,0.035966527534982765,33.03883038265067
