gene,M1_beta,M1_p,M2_beta,M2_p,M3_beta,M3_p,M4_beta,M4_p,pct_change_neuron,pct_change_all
TMED2,-0.017961396433041607,0.29942052748904563,-0.014497736663848544,0.43594075007919414,0.014133975122834758,0.30594280030843285,-0.007116867536099833,0.5203519493229244,-178.69084776077898,-60.37686956784878
TMED10,0.018284170777149066,0.23070469897104806,0.008139469262962025,0.6202883632235942,0.021439898454096183,0.16509602032604098,-0.017645659467698416,0.0446081092109451,17.25934260519508,-196.50784650158357
TMED9,-0.029461665840708473,0.013593423472585875,-0.03219594696975015,0.011670395014583595,-0.013893855264713463,0.1623756831374224,-0.024892531136761643,0.006469487081358371,-52.84090404176767,-15.508745257824007
