cell_type,beta_braak,p_braak,n_braak,beta_AD,p_AD,fdr_braak
neuron_score,-0.06234354843755715,0.06576362220885007,465,-0.25999194363053496,0.0020094698388626853,0.12942151537913751
astro_score,0.12128715575060442,0.00018269219904256228,465,0.23522001651161514,0.003701444156868794,0.0007307687961702491
micro_score,0.012189887845596725,0.698501222395544,465,-0.07556478330873619,0.33518717746772403,0.698501222395544
oligo_score,0.05099662922322021,0.09706613653435314,465,0.1925156086398743,0.011807212164573675,0.12942151537913751
