gene,beta_no,p_no,beta_yes,p_yes,pct_change,n
TMED2,0.027971603486586748,0.7322853198833942,0.04100487055942823,0.42340492906335725,46.594636875541795,110
TMED10,0.13231161434767216,0.06392583091378946,0.08618027720328532,0.10214977183165828,-34.865674772260434,110
TMED9,0.029276237555113285,0.5693108639261051,0.05852654166238073,0.14244602491169125,99.91141809873272,110
