gene,beta_no_cells,p_no_cells,beta_with_cells,p_with_cells,pct_change,fdr_no_cells
RBFOX3,-0.06568424721839469,0.007794142778804652,-0.01932265371937911,0.31368279033000096,-70.58251477689485,0.01594956771172521
SYT1,-0.06617208377222941,0.015433489350651532,-0.008918811623336503,0.20450589567543534,-86.52179119213488,0.0231502340259773
SNAP25,-0.08496015615654251,0.04008983955148618,-0.020044419014940792,0.16925839199691345,-76.40727145321138,0.05154407942333937
NEFL,-0.09466097830389526,0.001857740245591585,-0.037525259600436164,0.008867577674885193,-60.35825926078348,0.008237179414720549
MAP2,-0.045851520166725515,0.0971317728603664,-0.004073510293923771,0.7319484880164634,-91.11586643341016,0.1092732444679122
SYN1,-0.08648747747771242,0.00886087095095845,-0.028530583477514897,0.004429101565671502,-67.01189084296377,0.01594956771172521
CAMK2A,-0.034189984950988794,0.1616727414960342,0.0038384789494058146,0.7501470271395555,-111.22691032157009,0.1616727414960342
GRIN1,-0.08786248975327163,0.0014133251960613481,-0.033547602047133813,0.029561752148806623,-61.81806122118837,0.008237179414720549
SLC17A7,-0.08724086030902148,0.002745726471573516,-0.03089225282528414,0.00015526779893990008,-64.58969717187715,0.008237179414720549
