lipid_gene,tmed_gene,beta_interaction,p_interaction,n,FDR
SGMS1,TMED2,0.07894710593463988,0.34093791363928627,632,0.5545167806917275
SGMS1,TMED10,0.11285247760822603,0.07822067321777348,632,0.5545167806917275
SGMS1,TMED9,0.030490514491607185,0.6811305954299891,632,0.6811305954299891
SGMS2,TMED2,-0.09688720819552414,0.3075323447919238,632,0.5545167806917275
SGMS2,TMED10,-0.04614283985483233,0.5939186230448834,632,0.6811305954299891
SGMS2,TMED9,0.0413598871850508,0.5272917007492555,632,0.6591146259365693
SMPD1,TMED2,-0.038986525776683885,0.6494189531081374,632,0.6811305954299891
SMPD1,TMED10,0.09097509419018476,0.23519768433952648,632,0.5545167806917275
SMPD1,TMED9,0.03308757838110097,0.4066456391739335,632,0.5545167806917275
SMPD3,TMED2,0.055077859867643464,0.3751772372977509,632,0.5545167806917275
SMPD3,TMED10,0.0739060525506123,0.25070397147760715,632,0.5545167806917275
SMPD3,TMED9,0.04132119470018679,0.2859292374229496,632,0.5545167806917275
CERT1,TMED2,0.06090472701451592,0.20638141412204591,632,0.5545167806917275
CERT1,TMED10,0.08849025019025274,0.19120870993560857,632,0.5545167806917275
CERT1,TMED9,0.09200602345491343,0.13266185561923982,632,0.5545167806917275
