species,tmed_gene,rho,p,n
SM_C18_mean,TMED2,-0.04146588497621594,0.5639006523396202,196
SM_C18_mean,TMED10,-0.1011660810896621,0.158277592447858,196
SM_C18_mean,TMED9,0.15938327514793887,0.025656183236260535,196
