gene,rho,p,n,FDR
TMED2,0.004931737171947195,0.9014455194940548,633,0.9014455194940548
TMED10,0.0627995657503725,0.11446445396629851,633,0.3433933618988955
TMED9,-0.010974842492114853,0.7828676049228511,633,0.9014455194940548
