gene,rho,p,n,FDR
SGMS1,0.03401967743058424,0.39284275131067575,633,0.797413580511101
SGMS2,0.10061017571387444,0.011317910417663567,633,0.056589552088317834
SMPD1,-0.0014323571435394754,0.9713093364207601,633,0.9713093364207601
SMPD3,-0.028222469930136728,0.4784481483066606,633,0.797413580511101
CERT1,0.01679333051298802,0.6732394144788751,633,0.8415492680985939
