lipid_score,tmed_score,rho,p,n,FDR
SM_synthesis,TMED_score2,0.3675342206605593,1.0375412288512174e-21,634,1.245049474621461e-21
SM_synthesis,TMED_score3,0.2296401181496728,4.941694212528611e-09,634,4.941694212528611e-09
SM_breakdown,TMED_score2,0.5086051466046447,5.18851536380346e-43,634,7.782773045705191e-43
SM_breakdown,TMED_score3,0.6731157226154959,7.165079128097147e-85,634,1.4330158256194293e-84
CERT1,TMED_score2,0.7873187226452794,7.296586622610322e-135,634,4.3779519735661937e-134
CERT1,TMED_score3,0.763396604144562,4.522703742734767e-122,634,1.35681112282043e-121
