source,target,A,B_coef
APBA2,GGA3,0.9737720447590964,0.19035878500252984
RTN4,RTN3,0.9702213113285689,0.18709328022659044
SYK,COPA,0.9487152329055808,0.1729428728132054
COPE,GGA2,0.9443783533664784,0.17079886076190015
GGA1,PREB,0.942494149234035,0.16991607541288029
PREB,MAPKAPK2,0.9406314131155277,-0.16906965299224114
COPZ1,RTN4,0.9239459435811107,0.16243023027970613
GGA1,MAPK14,0.9087700895317609,-0.15746773316016335
SEC23B,AP4S1,0.8812929436971216,-0.1501182834249713
SEC24B,PLG,0.8683450538511371,0.1471601176866405
LRP1,SAR1B,0.8620991582516223,-0.14582088519981648
COPB2,COPG1,0.8603694443144344,0.14545904591918216
VDAC1,NCSTN,0.8478158553322698,0.14293930487010514
SEC24D,BACE1,0.8472797264729923,0.14283557313135017
COPZ1,APBA1,0.8402448278183365,0.1415012710400398
HSPA5,EIF2S1,0.8384884241791405,0.14117559896932436
COPB1,COPG1,0.8304930806136064,0.13972814622754146
HSPA5,MAPK14,0.820032970939857,0.13791427214222762
MAPK14,MAP2K3,0.8110776912320806,0.13642569951328629
ADAM17,PLG,0.8108467695421554,-0.13638804165926344
PLCG2,PLG,0.8094622825329633,0.13616300028936829
HSPA5,GGA2,0.8093127263315586,-0.13613876564839542
SEC23B,GGA2,0.8008048414103018,-0.13478330582783338
SNX6,BIN1,0.7877968718331838,0.13279240780245904
BACE1,PLG,0.7830939968068922,-0.13209471602761466
AP4B1,GGA2,0.775105879378259,-0.1309342480534927
AP4E1,PREB,0.7548339489689834,-0.12811405124098607
GGA1,AP4S1,0.7460083243624819,0.12693588163508746
PICALM,PLG,0.7419024638772562,0.12639700559399
SORT1,SAR1B,0.735877730792544,0.1256162960355191
NCSTN,GGA3,0.7326655730424407,-0.12520472358944723
NCSTN,AP4S1,0.7320691148571803,0.12512864681787114
GORASP1,SEC23B,0.7293311184868261,0.1247807900917241
AP4E1,SYK,0.7218249170633005,0.12383829755384769
TMED9,COPA,0.7069490709241463,0.12201530536375452
NCSTN,BACE1,0.705601886590255,0.12185295499621963
GGA1,RTN4,0.6974428147878181,0.1208787555684689
SEC13,PLG,0.6951645410672654,0.12060941037884569
SYK,SEC31A,0.6934157867693678,0.12040343312146565
PREB,ARF6,0.6833039806027612,-0.1192249360715531
SNX6,GGA3,0.6688135094187199,0.11757059071711823
RTN3,SAR1B,0.6632294528952078,-0.116942979594519
VPS35,AP1G1,0.6630793393697589,0.11692617940032121
CLU,SORL1,0.6599155606490635,-0.11657294876541961
RTN3,COPG2,0.6586291998807179,-0.11642978570919173
SEC24D,GGA3,0.6561907495196794,-0.11615911310555672
HSPA9,MFN2,0.648885924340435,0.11535364393197202
GGA3,COPG1,0.6400018267275793,-0.11438430183543703
SNX6,ABCA7,0.6093532816965395,-0.11111486457555393
PREB,COPG1,0.6081427796698322,0.11098780374476092
TMED9,TMED10,0.6044189892461788,0.11059780126947198
MFN2,SEC13,0.5953241243303239,0.10965048910742851
VDAC1,BACE1,0.5863596960840798,0.10872341630151078
RAB1B,SORL1,0.5502403295966343,-0.10504104428397135
COPB1,GGA3,0.5448017907871289,-0.10449222732865866
AP2A1,PLG,0.5418370817119498,-0.10419351328397039
MAPKAPK2,SEC24C,0.5293410349335396,0.10293747841444315
MAP2K3,BACE1,0.5225531100690008,0.10225684240697569
ITPR1,SORL1,0.517773171555922,-0.10177806629554217
VPS35,VPS29,0.5146478666200387,0.10146520592408302
COPZ1,COPE,0.5092223733249412,0.10092234193822916
GGA2,PLG,0.5068506139400502,-0.10068510426624142
AP4B1,SAR1A,0.5067733771162464,0.10067737914996262
COPZ1,ARF6,0.5048058237967998,0.10048059717983764
SEC24D,NCSTN,0.5039550440295587,0.10039551265210224
ITPR1,COPG2,0.502142811632258,-0.10021428247511002
ABCA7,GGA2,0.5010939557478525,0.10010939574934305
IDE,SIGMAR1,0.49139780493448154,-0.09913969560595003
EIF2S1,GGA2,0.48427553478571306,-0.09842703476905688
COPG2,SAR1A,0.4756414516791221,0.0975622153692818
MAP2K3,MFN2,0.47559250968008515,-0.09755730950260248
COPB1,TMED9,0.4748171264072174,0.0974795800068828
SEC23B,PSEN1,0.47407611479879497,0.09740528478053895
SNX6,RAB1B,0.47393179966913335,0.09739081415079835
TMED9,COPG1,0.47226399774347133,0.09722354958846582
PREB,SORL1,0.4709286472677661,0.09708958213714478
RAB1B,MFN2,0.4646737050360619,-0.09646147478902195
RTN4,PLG,0.4627162732735076,0.09626469388482946
GGA1,SIGMAR1,0.4609095711525587,0.09608296343452873
COPB1,PLG,0.4564598743959587,0.09563493164528522
ECE1,SEC23A,0.45560310939795945,-0.09554858743089947
PREB,PLCG2,0.45489279378473724,-0.09547698222906602
PREB,RTN4,0.45295560315539835,-0.09528160377556402
GGA1,SORT1,0.4463354617168695,-0.09461279622077073
PREB,COPG2,0.44210525154725666,-0.0941844414414392
