ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
10,IDE,BIN1,APOE,GGA3,PREB,COPE,SIGMAR1,MAPKAPK2,PICALM,AP4B1,ADAM10,LRP1,EIF2S1,VDAC1,GGA2,COPG2,OSBP,MAPK14,SEC31A,GORASP1,PLG,SYK,ITPR2,HSPA9,SEC23A,AP3B2,SEC24C,COPA,SEC13,SEC16A,RAB1B,ARF6,PSEN1,NCSTN,AP4E1,SORT1,SORL1,VPS29,GGA1,COPB1,APP,VLDLR,COPZ1,AP1G1,ABCA7,APBA1,MFN2,SEC23B,VPS26A,AP2A1,SAR1A,COPG1,SREBF2,CLU,ADAM17,MIA3,VPS35,APBA2,SAR1B,TMED9,TMED2,RTN4,ECE1,AP4S1,TMED10,RAB1A,AP2B1,COPB2,SNX6,SEC24A,RTN3,MAP2K3,BACE1,AP4M1,PLCG2,SNX4,ITPR1,SEC24B,HSPA5,SEC24D
11,COPE,COPZ1,COPG2,IDE,SEC16A,AP2A1,SEC13,BIN1,VDAC1,SIGMAR1,SORL1,VPS35,VPS29,EIF2S1,AP4E1,APBA1,ITPR2,ARF6,AP1G1,PICALM,SORT1,NCSTN,ADAM17,APBA2,ECE1,AP4B1,GGA3,APP,LRP1,SYK,SREBF2,AP4S1,MAPKAPK2,GGA2,SEC31A,HSPA5,SEC24C,MAPK14,HSPA9,APOE,MFN2,RTN4,AP3B2,SAR1B,ABCA7,ADAM10,SNX4,PREB,SNX6,SEC23B,COPG1,CLU,COPB2,TMED10,RAB1B,OSBP,SEC23A,VLDLR,PSEN1,COPA,SAR1A,GORASP1,RAB1A,PLG,GGA1,AP2B1,TMED2,VPS26A,TMED9,MAP2K3,BACE1,COPB1,RTN3,SEC24A,PLCG2,AP4M1,ITPR1,SEC24D,SEC24B,MIA3
12,SYK,VDAC1,ITPR2,APP,SEC31A,RAB1B,APOE,APBA2,COPZ1,IDE,SAR1B,GGA3,COPG2,VPS29,COPE,PICALM,AP3B2,AP1G1,LRP1,ADAM17,SEC16A,VPS35,GORASP1,AP4E1,GGA1,NCSTN,SNX4,SIGMAR1,SORL1,APBA1,EIF2S1,PSEN1,COPA,ARF6,PLG,ECE1,COPG1,GGA2,BIN1,PREB,MIA3,MAPK14,SEC24C,SAR1A,CLU,RTN4,SORT1,SEC23A,VLDLR,AP2A1,SEC23B,TMED10,MAPKAPK2,MFN2,OSBP,HSPA5,ABCA7,HSPA9,ADAM10,COPB1,TMED9,PLCG2,RAB1A,AP2B1,AP4M1,COPB2,MAP2K3,AP4B1,SEC24A,SEC24D,SREBF2,AP4S1,SNX6,BACE1,ITPR1,VPS26A,SEC24B,TMED2,SEC13,RTN3
13,ARF6,GGA1,MAPK14,SEC31A,AP4E1,SORL1,COPZ1,RAB1B,HSPA9,ADAM10,TMED10,PREB,SEC23A,SORT1,SYK,MAPKAPK2,RAB1A,SEC16A,IDE,VPS35,ADAM17,COPE,PICALM,APBA2,COPA,AP2A1,GGA2,APP,OSBP,EIF2S1,AP4B1,COPB1,SIGMAR1,TMED2,AP1G1,SEC24C,PLG,MIA3,NCSTN,BIN1,ITPR2,RTN4,GGA3,PSEN1,AP3B2,MFN2,SAR1A,VLDLR,CLU,HSPA5,COPG2,SEC23B,LRP1,VDAC1,AP4S1,SREBF2,SEC13,APOE,VPS26A,ECE1,RTN3,AP2B1,ABCA7,VPS29,SNX6,COPB2,GORASP1,APBA1,COPG1,PLCG2,AP4M1,SEC24A,SNX4,TMED9,SAR1B,MAP2K3,SEC24D,SEC24B,BACE1,ITPR1
14,OSBP,COPB1,APOE,ARF6,ADAM10,VDAC1,COPE,MAPKAPK2,VPS29,PSEN1,COPA,IDE,APP,GGA1,PICALM,SEC23A,AP4E1,SEC16A,AP3B2,ITPR2,SIGMAR1,EIF2S1,GGA2,AP2A1,VPS35,SORL1,SORT1,SEC31A,BIN1,GGA3,SYK,PLG,COPZ1,SEC13,SAR1A,PREB,NCSTN,HSPA5,HSPA9,COPG2,MAPK14,SEC23B,APBA2,ADAM17,APBA1,RAB1B,SEC24C,COPG1,RTN4,CLU,SAR1B,MIA3,AP4B1,GORASP1,COPB2,LRP1,SNX4,AP4S1,SREBF2,TMED2,AP2B1,SNX6,VLDLR,AP1G1,RTN3,SEC24A,MFN2,ABCA7,BACE1,AP4M1,ECE1,VPS26A,RAB1A,SEC24D,PLCG2,TMED9,TMED10,ITPR1,SEC24B,MAP2K3
15,ADAM10,APP,MAPK14,ARF6,MAPKAPK2,SIGMAR1,VPS29,APBA2,PICALM,GORASP1,AP4E1,LRP1,COPZ1,SEC13,ADAM17,SEC16A,GGA3,OSBP,GGA2,HSPA9,SAR1A,RAB1B,SEC31A,ABCA7,GGA1,BIN1,SYK,COPB1,COPE,TMED2,AP2A1,VPS35,COPG2,VDAC1,AP1G1,EIF2S1,COPA,APOE,PREB,IDE,SEC23A,AP4S1,ITPR2,CLU,PSEN1,SORT1,SEC24C,HSPA5,APBA1,SORL1,PLG,ECE1,SREBF2,NCSTN,COPG1,SEC23B,MIA3,RTN4,RAB1A,AP3B2,RTN3,AP4B1,TMED9,VPS26A,SNX4,TMED10,VLDLR,AP4M1,SEC24A,SAR1B,PLCG2,MFN2,MAP2K3,AP2B1,COPB2,SNX6,SEC24D,ITPR1,SEC24B,BACE1
16,SYK,COPE,RAB1B,PICALM,OSBP,VPS29,PSEN1,SEC31A,VDAC1,GGA2,HSPA9,SEC23B,SAR1B,SORL1,ITPR2,GGA3,SIGMAR1,APBA2,APP,APOE,COPA,ARF6,AP4E1,GGA1,TMED10,IDE,ADAM10,AP2A1,AP4B1,SEC16A,LRP1,VPS35,PLG,VLDLR,ECE1,EIF2S1,BIN1,CLU,PREB,COPZ1,COPG2,MAPKAPK2,AP1G1,SEC23A,AP3B2,TMED2,SORT1,GORASP1,ADAM17,TMED9,COPB1,MAPK14,HSPA5,RTN4,SEC24C,COPB2,ABCA7,AP4S1,SREBF2,VPS26A,APBA1,COPG1,SNX6,SAR1A,MAP2K3,RAB1A,PLCG2,SNX4,AP2B1,AP4M1,NCSTN,SEC13,MFN2,SEC24A,MIA3,SEC24D,SEC24B,RTN3,BACE1,ITPR1
17,MAPKAPK2,MAPK14,VPS29,SIGMAR1,GGA1,AP1G1,ITPR2,COPA,BIN1,GGA3,VDAC1,AP3B2,COPZ1,APBA2,IDE,COPE,RAB1B,SEC16A,PICALM,MIA3,APBA1,GGA2,GORASP1,APOE,ARF6,PLG,AP4E1,ADAM17,SYK,TMED2,EIF2S1,SORL1,AP4B1,VPS35,RAB1A,HSPA9,SEC23A,SEC24C,OSBP,RTN4,LRP1,SREBF2,CLU,PSEN1,SAR1B,VLDLR,SEC23B,AP4S1,SEC31A,APP,ADAM10,TMED9,AP2B1,ECE1,TMED10,VPS26A,PREB,NCSTN,PLCG2,MFN2,COPB1,ABCA7,SEC13,AP4M1,SNX6,SORT1,AP2A1,HSPA5,SAR1A,SNX4,MAP2K3,COPB2,COPG2,RTN3,COPG1,BACE1,SEC24A,ITPR1,SEC24D,SEC24B
18,GORASP1,APOE,OSBP,SEC31A,VPS35,ADAM17,SEC24C,AP1G1,AP4E1,PREB,SYK,COPE,APBA2,LRP1,COPZ1,GGA3,COPA,APP,AP3B2,SORL1,VDAC1,PSEN1,SIGMAR1,BIN1,AP4B1,PICALM,HSPA9,EIF2S1,ITPR2,SORT1,MAPKAPK2,RTN4,IDE,PLG,SEC16A,SNX4,AP2A1,RAB1B,SEC13,SEC23B,ARF6,TMED2,CLU,ADAM10,COPB1,MAPK14,SEC23A,VPS29,SAR1B,VLDLR,GGA1,GGA2,RAB1A,SNX6,MFN2,NCSTN,MIA3,AP4S1,APBA1,TMED9,ECE1,SAR1A,HSPA5,AP2B1,ABCA7,TMED10,VPS26A,SEC24A,MAP2K3,AP4M1,ITPR1,PLCG2,COPG1,RTN3,SEC24B,COPB2,BACE1,COPG2,SREBF2,SEC24D
19,APBA1,COPG2,IDE,PICALM,COPZ1,EIF2S1,ITPR2,GGA3,COPA,PLG,BIN1,SEC24C,SEC23A,AP4E1,GORASP1,VPS29,GGA2,VDAC1,SIGMAR1,PREB,AP4B1,MAPK14,ARF6,GGA1,ADAM17,APOE,COPE,SEC16A,MAPKAPK2,SYK,ADAM10,VPS35,SORT1,OSBP,SORL1,COPB2,HSPA9,NCSTN,APBA2,SEC13,SEC31A,ECE1,VLDLR,CLU,RTN4,AP3B2,LRP1,RAB1B,TMED10,SAR1A,AP2A1,AP4S1,MAP2K3,SREBF2,TMED2,TMED9,RAB1A,COPG1,SAR1B,MFN2,HSPA5,MIA3,AP1G1,PSEN1,COPB1,ITPR1,BACE1,SEC24A,SEC23B,PLCG2,ABCA7,RTN3,VPS26A,SNX4,APP,AP2B1,SEC24D,SNX6,AP4M1,SEC24B
