braak,n,TMED2_mean,TMED2_sd,TMED2_se,TMED2_med,TMED2_q25,TMED2_q75,TMED10_mean,TMED10_sd,TMED10_se,TMED10_med,TMED10_q25,TMED10_q75,TMED9_mean,TMED9_sd,TMED9_se,TMED9_med,TMED9_q25,TMED9_q75
0,7,5.409722294670497,0.89173451946971,0.33704396771550543,5.77151922228335,5.45873492036172,5.8510810452952455,6.203291025570435,0.7776859379090064,0.2939376556884642,6.3804026032996,6.142139559044865,6.631347804946611,5.740147990045915,0.5783033135681601,0.21857810715227952,6.00965438016555,5.8256467772422145,6.023783915214005
1,50,5.245285144154409,0.4563101113694435,0.06453199481466444,5.34194169820525,4.989012724670653,5.606166901542652,6.340654719291523,0.39906720587123773,0.05643662548414404,6.374161453809824,6.15828200183538,6.613123094994652,5.880420608615501,0.29886085843588517,0.04226530792624944,5.92734702714864,5.707871135184015,6.083783346927165
2,53,5.381647486131938,0.5000850765301472,0.06869196813450433,5.46912690906041,5.08729495738351,5.70249398529658,6.523350041752094,0.45068080381356485,0.06190576937267975,6.49848017977911,6.3298313471108,6.78505140930706,5.9181277917672634,0.3242546231449728,0.04453979789816309,5.93646361072403,5.72865143146807,6.09021230492905
3,177,5.368896536855441,0.4958492051091112,0.037270308550862344,5.47421763296421,5.12186934608852,5.66776330735573,6.476927993029733,0.42510174352735625,0.03195260370194146,6.53031668694178,6.27757532141538,6.71762019229468,5.924037961916668,0.33855888794093475,0.025447644336585844,5.96780945439226,5.79097816035345,6.1115483975477
4,210,5.27858021822782,0.5567032684822633,0.03841617523529298,5.350833309572395,4.93212140852138,5.629458091342207,6.450622316670523,0.5041805916096372,0.03479176619586634,6.472751034219465,6.17576746636996,6.767504661004519,5.8524004895699475,0.3918414130786027,0.027039626388958446,5.854494077654595,5.6679435739075394,6.064496771234662
5,130,5.289754659881772,0.5504032025160226,0.04827355426189485,5.3792933779860395,5.001703384190972,5.65973000551865,6.490201637422747,0.4829819113525767,0.04236031585320141,6.524333735277035,6.332222140334769,6.76176993755493,5.786548780058618,0.3895863969464221,0.0341689873654791,5.805090441746495,5.56664594784412,6.0213855993179894
6,7,5.0463907523598746,0.6653496659044601,0.25147853584044466,4.90804203820395,4.655162624228395,5.380891007705175,6.329942969658333,0.38768308300769483,0.14653043216359588,6.14739818293384,6.0383213423209945,6.5903744182486,5.672966576039623,0.28828458505900373,0.10896133126851008,5.53892487122261,5.505872788032745,5.8932047958982245
