gene,mean_early,mean_mid,mean_late,n_early,n_mid,n_late,ANOVA_F,ANOVA_p,p_early_mid,p_mid_late,p_early_late
TMED2,5.321451182140062,5.31988768178619,5.277320007672624,110,387,137,0.34804825165107905,0.7062002683005114,0.9780953880406178,0.4262620092593275,0.5215085636657019
TMED10,6.419939321422095,6.462653595005356,6.482013238339894,110,387,137,0.5556241561991914,0.5739944925605921,0.3982225391863073,0.6799169358782958,0.3043693564396488
TMED9,5.88966217567965,5.885164914906819,5.780745309780276,110,387,137,4.4374689034408865,0.01219715891268744,0.9084699174099453,0.005136193600088587,0.019771256890695508
