Marker,rho,p,n,FDR
EIF2AK3,0.3617418212335789,4.913400411201297e-21,634,4.913400411201297e-21
ATF4,0.5310513241924415,2.027245672784871e-47,634,2.5340570909810885e-47
DDIT3,0.607547527861363,3.170647703943846e-65,634,7.926619259859615e-65
HSPA5,0.5636853270806128,1.8917117669138992e-54,634,3.152852944856499e-54
PPP1R15A,0.72733277148944,2.041263529936572e-105,634,1.020631764968286e-104
