cell_type,rho_braak,p_braak,rho_cerad,p_cerad,n_donors,FDR_braak,FDR_cerad
Ast,0.05681782537533925,0.7012903694611766,-0.04698229243164648,0.7511693394364531,48,0.8014747079556305,0.8584792450702322
End,0.5055250296034366,0.24711152011413007,-0.51604684654214,0.23576174818997728,7,0.3953784321826081,0.37721879710396367
Ex,-0.17715162083595806,0.2283790103156029,0.1907238807762203,0.19411565562260455,48,0.3953784321826081,0.37721879710396367
In,-0.1240341206232174,0.40094642097649846,0.15430336110769852,0.29502907875634654,48,0.5345952279686647,0.39337210500846204
Mic,0.3246662945871447,0.02770704130244618,-0.24124113116355353,0.10628834739527755,46,0.11082816520978472,0.28343559305407345
Oli,0.3203841635592493,0.026414837191851025,-0.3328870686610782,0.020784058716225556,48,0.11082816520978472,0.08313623486490222
Opc,-0.020850164195003972,0.8881372752759865,0.005718352722204232,0.9692301291210172,48,0.8881372752759865,0.9692301291210172
Per,-0.3989754723329749,0.17686360360210307,0.6415870569547424,0.018092587112276053,13,0.3953784321826081,0.08313623486490222
