Outcome,Model,beta,p,n
Braak,simple,-0.02977248007492528,0.01273961856345775,634
Braak,+demo+batch,-0.0321959469697501,0.01167039501458316,633
Braak,+demo+batch+cells,-0.02489253113794433,0.00646948707890529,633
CERAD,simple,0.044905693952558036,0.0004006892962958353,634
CERAD,+demo+batch,0.04652794502149248,0.0002993958546448057,633
CERAD,+demo+batch+cells,0.028155619203087123,0.0024904771036773276,633
cogdx,simple,-0.017890882020251186,0.07668172514001144,634
cogdx,+demo+batch,-0.02015625897145713,0.05024946831865119,633
cogdx,+demo+batch+cells,-0.00873531797842706,0.23676021456055985,633
