Outcome,rho,p,n,FDR
Braak,-0.15491120555825888,8.983130834984707e-05,634,0.00013474696252477062
CERAD,0.160831536891018,4.738678230640787e-05,634,0.00013474696252477062
cogdx,-0.11089406432747144,0.005184241163131179,634,0.005184241163131179
