source,target,A,B_coef
APP,APOE,0.9999999627712981,0.5276546445211808
TMED10,TMED2,0.9999999529998387,0.5218278688852692
CLU,APOE,0.9999998389949786,0.4910457530624997
GGA2,ABCA7,0.9999690620221349,0.35958737832875265
LRP1,GGA2,0.9999683202878632,0.35899505993596587
SEC24C,SEC23A,0.9999644904000156,0.3561417991428385
NCSTN,PSEN1,0.9999642059970163,0.3559423599591328
VPS29,VPS35,0.9999234205925747,0.3369276441896544
AP2A1,AP2B1,0.9999218463683588,0.33641889688384985
TMED10,TMED9,0.9999218430460435,0.3364178340719594
LRP1,SORL1,0.9999011243375331,0.3305387137825888
RAB1A,RAB1B,0.9998934024729942,0.32865859105277917
AP1G1,GORASP1,0.9998796658029979,-0.3256279342396421
MFN2,SORL1,0.999835532177143,0.31781577828188257
LRP1,AP4S1,0.9996072591835756,-0.2960491961473504
MFN2,HSPA9,0.9995781358216784,0.29426012987160505
VPS29,VPS26A,0.99957649363174,0.29416296026747757
COPG1,COPB1,0.9995673922980771,0.29363116348756946
HSPA5,ECE1,0.9995423867931865,-0.2922257134832019
RTN4,SEC16A,0.9994137096007978,0.2860277216756057
SORT1,ITPR1,0.9993438419312453,-0.28321131165358965
MFN2,VDAC1,0.9992992031362472,0.2815647862763564
RAB1A,AP4S1,0.999157920117447,0.2769698310300101
BIN1,SNX6,0.9991082997295486,0.2755372100863277
ITPR2,VLDLR,0.9990546321978295,-0.27407476706505995
TMED2,TMED9,0.9990494696863113,0.27393848804574017
ADAM10,PLG,0.9990476165763179,-0.27388975027649365
RAB1B,AP4S1,0.9989936776678252,-0.2725111504973501
AP1G1,SEC16A,0.9988584138207834,-0.26935485900231537
AP2A1,ADAM17,0.9988224698502499,-0.2685789475883761
ADAM10,BIN1,0.9987453147847295,0.26699037723385066
AP1G1,AP4S1,0.9987110495653624,0.26631593066220854
AP2A1,ABCA7,0.9986486627746528,0.2651327097097743
BIN1,ABCA7,0.998568362799342,0.26368759827665367
HSPA5,SYK,0.998307979317838,0.2595034585151717
HSPA9,IDE,0.9982964315729462,0.2593331283002969
HSPA5,COPZ1,0.9978988068205896,0.25407866277879376
AP1G1,ABCA7,0.997403155442647,-0.2487714495145643
ADAM10,GORASP1,0.9972666323988845,0.24748709415983872
GGA2,GORASP1,0.9972203908702187,0.24706653706365178
MFN2,PLG,0.9970334908558894,-0.2454349617964741
BIN1,PICALM,0.997032396620226,0.24542571448281233
CLU,SORL1,0.996588067135349,-0.24192646397525627
BIN1,SEC24B,0.9963981878570217,-0.24056774682085508
SEC23A,PSEN1,0.9962977011714488,0.23987730444870922
RTN4,PICALM,0.9962518589400359,0.23956850240772543
SEC24A,ABCA7,0.9962165881536804,0.23933346211386247
LRP1,PLCG2,0.9960715037382387,0.23838905809613273
ITPR1,PSEN1,0.9958793305047047,-0.237190261177877
PLCG2,AP4B1,0.9958487545792177,0.23700467506517858
AP2A1,GORASP1,0.99504110988386,0.23254005259953142
GGA1,PREB,0.9947772874344907,0.23123754912228486
AP3B2,AP4B1,0.9947403872865972,-0.23106060976014034
SEC23A,SEC24D,0.9940327645942879,0.2278871607363186
NCSTN,VDAC1,0.993894551416843,0.22731123832693845
MIA3,SIGMAR1,0.9928504923143515,-0.22333841479778568
AP2A1,PLCG2,0.9926906214251714,0.2227815199036109
PREB,COPB1,0.9926840513985232,0.22275889331438808
SEC23A,NCSTN,0.992278746846547,-0.22140068465445228
GGA3,APBA2,0.992052771089448,0.2206738249834931
MAPKAPK2,SREBF2,0.9912136127972766,0.21814316122175076
AP2B1,ABCA7,0.990980149801763,-0.2174816694363632
RTN3,AP4B1,0.9909184982609965,-0.2173098180083945
AP2A1,SAR1A,0.9908141256576738,0.21702150119457583
VPS26A,AP4S1,0.9905645941537149,0.21634514712065037
AP1G1,VPS35,0.9904091417327668,0.2159326937819783
RAB1A,SORL1,0.9898187409563607,-0.21442432886976465
GGA1,AP4E1,0.9898139925422654,0.21441255196343342
ITPR2,ADAM17,0.9898060902140852,0.2143929648329613
PLG,IDE,0.9891735115163637,0.21287184972271012
SORT1,BIN1,0.9889969963575805,0.21246307501604147
SEC13,SEC24B,0.988698857432976,0.21178714901360032
LRP1,COPE,0.9878868188959313,0.21003184820686238
BACE1,IDE,0.9873769575479385,0.20898819948058114
SORT1,AP4B1,0.9870052046358966,0.20825315979792278
LRP1,OSBP,0.9868385537536399,-0.20793036590909816
ADAM10,COPZ1,0.9867754964661358,0.20780927789931306
COPG1,COPA,0.9863522051423858,0.20701088842896767
AP2B1,VPS35,0.9863365006850359,0.20698173953077345
GGA3,IDE,0.9856840364960603,0.2057990152466402
MIA3,AP4S1,0.9853678011126651,0.20524476174988432
ITPR2,GORASP1,0.9853381482351493,0.20519339693420371
VPS26A,RAB1B,0.9849969310496679,0.20460959371544113
SEC31A,PREB,0.9847973820028313,0.20427420666961874
SREBF2,AP4E1,0.9846312805043463,-0.20399832486067643
TMED2,ARF6,0.9840740716902162,0.2030938169489931
COPA,COPB2,0.984005765528645,0.20298508611381894
VPS26A,ADAM17,0.9833622711870037,0.20198261630211486
AP1G1,EIF2S1,0.9832978093128483,0.2018843036049948
ADAM10,SEC16A,0.9828199631627516,-0.20116694730578974
COPG1,IDE,0.9828055073276758,0.20114555263164574
ITPR2,ABCA7,0.9827823856126429,0.20111136914366273
SEC23A,AP4B1,0.982723326471739,-0.20102425953794006
RAB1A,NCSTN,0.9825125542344101,0.2007157470711523
LRP1,SNX4,0.982311556753191,0.2004249255795539
ADAM10,AP4E1,0.9819433420917093,0.19990047835733812
AP1G1,PLCG2,0.981416658035214,-0.1991682877778464
NCSTN,PLCG2,0.981321097968657,0.19903762674231218
SAR1A,SAR1B,0.9805611015864936,0.1980212207250836
RAB1B,GGA3,0.9804683720712297,0.19789988228686356
ITPR2,COPZ1,0.9803719982561877,-0.19777437206562798
SORT1,ADAM17,0.9800149216828065,-0.1973145471700316
TMED10,ARF6,0.9798958850949137,-0.19716304526408032
SEC23B,NCSTN,0.9788879112727732,0.19591428352524645
ADAM10,SEC24D,0.9787047495151583,0.19569364868456587
MAP2K3,SIGMAR1,0.9784563992217553,0.19539743505610666
COPA,COPE,0.9783644135496951,0.19528856829400482
EIF2S1,PLCG2,0.9779911770676184,0.19485143083118936
AP1G1,ITPR1,0.9779366918528881,0.19478822429406895
TMED10,COPZ1,0.976873570518189,0.19358452852339764
SEC24C,COPB1,0.9761076822567535,0.19275039841446345
SEC31A,SYK,0.9744517007763749,-0.19103260516982637
CLU,APP,0.9740599150157412,0.19064208402679453
SAR1B,SORL1,0.9721677396452254,-0.18883331422263408
PICALM,SORL1,0.9704837564079433,0.18732134807703793
VPS29,PLCG2,0.9701514568377312,-0.1870329041753759
SEC13,COPA,0.9697303523878362,0.18667181410361824
EIF2S1,PSEN1,0.9693732411161621,-0.18636939048301043
VPS29,SORL1,0.9690779123856949,0.18612185688809435
APP,ECE1,0.969013241043618,0.18606795734113593
RTN4,RTN3,0.9675720913889544,0.18489426265703138
EIF2S1,SEC24A,0.9673395358158772,-0.1847096064158697
LRP1,GGA1,0.9666169233913775,-0.18414382960534115
CLU,SEC24D,0.9665608857359806,0.1841004498056005
AP4S1,SEC16A,0.9664098003671546,0.1839838405352109
MIA3,PREB,0.9655643835050007,0.18334053479411802
LRP1,ADAM17,0.9654815255798895,0.18327830739928808
GGA1,ABCA7,0.9638439102037328,-0.1820770992278203
SORT1,PLCG2,0.9638409810543027,-0.18207499798404037
MFN2,EIF2S1,0.9636492900349203,-0.18193784215615633
GGA2,GGA1,0.9634591976508293,0.18180251575226103
BACE1,PREB,0.9622661440981587,0.18096833358690215
APOE,GORASP1,0.9619575994364487,0.18075672580702612
APP,SEC24D,0.9616633789437854,-0.18055647171977593
SEC13,RTN3,0.9614569334202279,-0.1804168386104118
EIF2S1,SNX6,0.9595598037761546,0.1791662598801485
HSPA5,AP4E1,0.9582502713191408,0.17833540086967933
ADAM10,ARF6,0.9580648805857763,-0.1782197963169961
MIA3,HSPA5,0.9580396287160169,0.1782040877799058
MAPK14,SAR1B,0.9571518132232022,-0.177657467120609
AP2A1,GGA1,0.9567467330362258,-0.17741164855982292
PICALM,GORASP1,0.9551595616927742,0.17646920084397316
SNX6,PLCG2,0.9545575471900415,-0.1761200294925833
LRP1,PSEN1,0.9544505802858991,-0.17605844955595046
GGA1,ITPR1,0.9543311566568331,0.17598986087799448
COPG2,MAPKAPK2,0.953921638484947,0.17575595174413242
COPZ1,SEC16A,0.9531843051646719,0.1753397443309967
ITPR2,AP4B1,0.9509479117251316,0.1741144132355222
IDE,PLCG2,0.950786263532483,0.17402791267709716
RAB1A,AP4E1,0.9500191866157763,-0.1736210745339942
VPS29,SEC24B,0.9493486872334814,-0.1732702752083186
MAPK14,ITPR2,0.9493197280907643,0.17325522329349247
ITPR1,COPG2,0.9490130373835702,0.17309631428665298
AP1G1,SNX6,0.9481978992942607,-0.17267831330976616
APP,SEC24A,0.946571469254035,0.17186253974659163
COPG1,ABCA7,0.9452290280090379,0.17120667275991214
COPG2,SEC24D,0.9450724341753133,0.17113115605593493
LRP1,MAP2K3,0.9448504974813282,-0.17102447465273954
AP2B1,ADAM17,0.9432773515356965,-0.1702796695188566
RAB1A,IDE,0.9428737181402891,-0.17009170175326332
AP2A1,SEC23B,0.9426225194485947,-0.16997535008815026
AP1G1,VLDLR,0.9420447355637183,0.16970953383287096
EIF2S1,COPE,0.9416630772423693,0.1695353081694218
SEC23A,SIGMAR1,0.9407447683940808,-0.1691204448773332
ITPR1,SYK,0.9390791795284908,-0.1683831200736985
PICALM,COPB1,0.937703544475056,0.16778823294677858
SNX6,VLDLR,0.9367903847861814,0.16740007798247805
GGA3,AP4B1,0.9364191957562695,0.16724379075526682
RAB1A,SEC23B,0.9360245089760026,-0.16707854009184242
ITPR1,COPA,0.9356817692132402,0.16693580776108477
SEC13,AP4E1,0.9347718125178175,0.16656026874665533
MFN2,PSEN1,0.9335174515001949,0.1660505043214394
OSBP,ITPR1,0.9329112321390209,0.16580733544943937
SEC23B,SYK,0.9326206484271232,0.16569149775860367
LRP1,PICALM,0.9316573861765387,-0.16531079106005162
HSPA5,COPG2,0.9308816494274814,-0.16500779715600775
HSPA5,COPB2,0.9297219659321817,0.1645606572503147
MIA3,ABCA7,0.9280037647296335,0.16391054899653199
BACE1,NCSTN,0.9272013327172157,0.1636118270225347
VPS26A,VPS35,0.9270526252776475,0.16355680116092436
VPS29,GORASP1,0.9267597675524178,0.16344873719928257
SORL1,AP4E1,0.9267192108117198,-0.16343380322313145
SEC31A,SEC23B,0.9257227330427993,0.16306924558583458
ITPR2,COPB2,0.9250805637929942,0.1628366869357879
APP,AP4M1,0.9244495159388887,0.16260993366487647
MFN2,APBA2,0.9225704777628967,-0.16194489098828738
SEC31A,AP4E1,0.9221929474675284,-0.1618130598910291
SEC31A,SEC16A,0.9217156748844424,0.16164723511217113
TMED2,SAR1A,0.9216577718148616,0.1616271801019686
AP3B2,SEC13,0.9213990507423911,-0.16153773614590586
ADAM10,VLDLR,0.9213219830849186,-0.1615111447000656
RAB1A,PREB,0.9206122304742259,-0.1612673649108823
APP,ABCA7,0.920105006386223,-0.1610943652061898
AP1G1,SYK,0.9195800554832785,0.1609163723212913
ADAM17,VLDLR,0.9193603967673318,0.1608422080819687
ITPR2,PSEN1,0.9192475669551549,-0.16080418452927642
MFN2,NCSTN,0.9189942452943282,-0.16071899156292352
VPS29,COPG2,0.9185897060681104,-0.16058344599067592
LRP1,BIN1,0.9175069464720094,-0.16022365152129495
LRP1,MAPKAPK2,0.9174369972532547,0.16020055595440666
SEC24C,OSBP,0.9168989148398555,0.16002348678209277
SEC31A,PICALM,0.9167416920579173,0.1599719456385809
SEC13,PREB,0.9162784840470977,0.15982060838810105
SYK,SEC16A,0.9160838740483918,0.1597572531650959
SEC24C,AP4B1,0.9154030308176743,0.15953664996083214
ADAM10,SNX4,0.9152861161075895,-0.1594989301231216
MAPKAPK2,SYK,0.9144521425793827,0.1592312294852594
SEC31A,SNX4,0.9135951248637698,-0.15895858508247754
SEC24D,SIGMAR1,0.9135262564168481,0.158936782314836
COPZ1,COPB1,0.9132939244055459,0.15886334509825298
VPS29,CLU,0.912945877968059,0.15875366454868378
AP2A1,AP4E1,0.9128410518232649,0.15872070821939252
CLU,ADAM17,0.9128288654380047,0.15871687926398362
SEC24C,AP4E1,0.9127075513022126,0.1586787888069418
AP4M1,AP4S1,0.910916796003096,0.1581220187778411
MAPK14,PREB,0.9095992434661173,-0.157718786865343
MIA3,SEC24D,0.9081864632955353,0.1572922492040298
ARF6,SNX4,0.9068865096853871,0.15690495600058174
ITPR2,SIGMAR1,0.906852345358998,0.15689484309758284
PLG,SEC24D,0.9040513592976451,0.1560768279134081
VPS26A,SYK,0.9033025096761743,0.15586175133973112
MIA3,RTN4,0.9031800431106052,-0.15582671943966328
MAPK14,SREBF2,0.9031224136926357,-0.15581024807204688
SNX4,VLDLR,0.9015071665003056,0.15535210507394462
RTN4,APBA1,0.9009347628418336,0.15519135638493425
BIN1,SNX4,0.9007132578274245,0.15512937272197636
SNX6,PICALM,0.8998112201846632,0.1548782195370571
AP3B2,OSBP,0.8989992672186164,0.15465386118219782
SEC13,VLDLR,0.8988328462833114,-0.15460807370217639
AP3B2,COPB2,0.8986949881813969,-0.1545701953216117
SEC23B,MAPKAPK2,0.8986160153312158,0.15454851706132947
PLG,MAP2K3,0.8985173393233368,0.15452145127497197
IDE,VLDLR,0.8984357744081193,0.1544990964985571
PICALM,APBA2,0.896947750480008,-0.15409403686686862
NCSTN,GORASP1,0.8964806429356013,0.1539679520249825
ITPR1,ECE1,0.895964062595593,-0.15382909780106965
AP4M1,SEC24A,0.8955225720044859,0.15371090947969226
HSPA5,SEC31A,0.8952327010682979,0.1536335498893498
VPS26A,SAR1A,0.8932750227642315,-0.15311598225838308
VPS29,SIGMAR1,0.8911724444733498,-0.1525693344763811
OSBP,COPA,0.8911040101999179,-0.15255169875592792
ARF6,PLCG2,0.890621589074112,-0.15242765259596308
AP3B2,PLCG2,0.889594238998016,0.15216507830145948
AP3B2,NCSTN,0.8892859043705901,-0.15208669056566818
SAR1A,PSEN1,0.88914836444751,0.15205178550331166
ADAM10,BACE1,0.8876987486881757,0.15168618585497498
SORT1,SNX6,0.8868121248985367,0.15146460251672492
RAB1B,PICALM,0.8851785532825159,-0.15106027738114747
HSPA5,SEC16A,0.8849957013213632,-0.15101533200633155
CLU,PSEN1,0.8841634257970834,-0.15081153904216915
COPG1,COPG2,0.8824474054173919,-0.15039533357166313
COPZ1,SYK,0.8801339865391419,-0.14984248972088174
AP3B2,PSEN1,0.8780503387312857,0.14935238945911997
NCSTN,SIGMAR1,0.8766326301865747,0.14902303401276285
MIA3,SAR1A,0.8763349095832527,0.14895428267114755
SORT1,ADAM10,0.8759145645114431,0.14885745582129467
AP1G1,NCSTN,0.8754870033077502,0.14875925512942847
GGA1,COPG2,0.8752613844569568,-0.14870755236366182
TMED10,VLDLR,0.8751694912347211,-0.14868651711369568
PICALM,PLCG2,0.8731518747480764,0.14822797507019977
ADAM10,SEC24B,0.8727859535274759,0.14814548169404174
SORT1,COPB1,0.8727302933863013,-0.14813295142623878
AP3B2,AP4M1,0.8726339151057225,0.14811126571459968
VPS29,HSPA5,0.8724736895811763,0.14807524497195132
SEC24C,SEC24D,0.8681026639485092,-0.14710715303284896
CLU,PREB,0.8679258238526221,-0.1470685637337598
AP2A1,SAR1B,0.8675468580275277,-0.14698601469978476
RTN3,GORASP1,0.866313242255248,-0.14671867800277275
HSPA9,SEC24D,0.8659269255172808,-0.1466353885027568
ITPR2,SYK,0.8655443469415962,0.14655310460477888
AP3B2,PICALM,0.8647800977668229,0.14638932234338012
AP3B2,HSPA5,0.8647608389691307,0.1463852051924662
MIA3,COPZ1,0.8633551088748628,0.1460860140809428
APBA1,VLDLR,0.8629916638969017,0.14600908150361305
VPS29,APOE,0.8614272916019869,-0.1456798874175224
AP1G1,GGA1,0.8607401228788184,0.1455362704997809
AP2A1,VDAC1,0.8599399143394746,0.1453697751483412
VPS29,PICALM,0.8597488229672521,-0.14533013358781957
RTN4,ITPR1,0.8589833694482317,-0.14517179327088223
MAPKAPK2,COPA,0.858132861884287,-0.14499669914107374
EIF2S1,VLDLR,0.8571683370301796,-0.14479918926101484
GGA3,COPB1,0.8570664518899132,-0.14477839079991828
PLG,AP4E1,0.8568993577453239,0.14474430753650258
SEC13,AP4B1,0.856286570644337,-0.14461959640192837
TMED10,SEC24D,0.8554794258424999,-0.1444560041158721
MAPK14,RAB1B,0.8546438411655304,-0.144287445589046
APP,VLDLR,0.8511668192654489,-0.14359455125883322
RTN4,ABCA7,0.8483945555143557,0.1430516104813971
AP1G1,MAPKAPK2,0.8459908338896284,-0.14258741010155268
SEC13,SEC31A,0.8446324644997706,0.14232770181597065
BIN1,APP,0.8434125473670933,0.14209603904130952
SEC16A,AP4E1,0.8426452053040885,0.1419510725826194
RAB1A,APBA2,0.8400234289738961,0.1414600602414772
BIN1,ADAM17,0.839259757690101,0.14131826505557443
GGA2,ECE1,0.8390881720847903,0.14128648076387595
SEC23A,COPB1,0.8373611042431519,-0.14096807561153774
MFN2,GORASP1,0.8349115443939883,0.14052110898866893
TMED10,ITPR1,0.8348118195603537,-0.14050302555261052
VPS26A,ABCA7,0.8345677049755565,0.14045879636471298
RAB1B,NCSTN,0.831188318207643,-0.13985181502146318
PLG,SIGMAR1,0.8310506269617555,-0.13982729034288557
EIF2S1,SEC24D,0.8281451242553951,0.13931345087195368
SEC31A,AP4S1,0.8245228886892423,-0.13868240719464892
