gene,beta,se,ci_lo,ci_hi,p,n,fdr
MAPK14,-0.016746881427511066,0.008220080406327554,-0.03285823902391308,-0.000635523831109059,0.04204003951529323,633,0.05605338602039098
MAP2K3,0.03662762271940652,0.012531069811734243,0.012066725888407404,0.061188519550405635,0.0035929789305843684,633,0.007185957861168737
MAP2K6,0.013244766693753518,0.014715472125615777,-0.015597558672453403,0.04208709205996044,0.3684370224496839,633,0.3684370224496839
MAPKAPK2,0.04330171163387049,0.011909239368981351,0.019959602470667043,0.06664382079707394,0.00029978054384718596,633,0.0011991221753887438
