,sex,apoe_genotype,cts_mmse30_lv,cts_mmse30_first_ad_dx,pmi,braaksc,ceradsc,amyThal,amyA,amyCerad,amyAny,reag,PlaqueTotal,TangleTotal
ITPR2,0.03544928837016624,0.0,-0.0,-0.0,0.023379890138994684,0.007467839979553996,0.09801093965723609,0.023955068482125218,0.0,0.0,0.0,0.014032509424524671,0.0,0.10594538457456044
LRP1,-0.0,-0.0,-0.0,-0.0,0.006036004441028553,0.07370796223301634,0.18387434596272484,0.0,0.0,0.036105977567476764,0.0,0.002551379281995667,0.04436927448457436,0.0183118246941876
MAP2K3,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0014046027974404965,0.0,0.027535557538425674,0.0,0.0,0.0,-0.0,-0.0
MAPK14,-0.0025985136439038996,-0.0,0.0,0.0,0.01483777564887466,-0.0,-0.06666259791420809,0.0,0.0,0.0,0.05388761695952272,0.0,-0.0,-0.0
MAPKAPK2,0.0,0.004429448602371489,-0.0,0.0,-0.010166966350012085,0.0,-0.026113768135334142,0.0,0.0,0.0,0.0,0.005139575651386157,-0.0,-0.0
MFN2,-0.00011418895880641658,-0.007359306650547854,0.10433759359508549,-0.014963930639365578,0.0,0.0,-0.02045471302237507,-0.001443105029862383,-0.0,0.0,-0.0,0.0,-0.030627172267318346,0.0
MIA3,0.0,0.0,-0.0,-0.0,0.0,-0.003888565714075878,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
NCSTN,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
OSBP,0.0,-0.020189581666692925,0.0,0.0,-0.014227739348798486,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
PICALM,-0.0,0.0,0.0,-0.0,-0.0,-0.06284402282810524,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PLCG2,-0.003988561172641569,-0.0,0.0,0.0,0.0,-0.0,-0.025824582492851134,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
PLG,-0.04041730218881555,0.0,-0.0,-0.0,-0.0026266881892100654,-0.0,0.0,-0.0,-0.033471473473559075,-0.0,0.0,-0.0,0.0,0.0
PREB,0.061010733489664494,-0.008834388095443402,-0.0030423717823024033,0.0,-0.031500116865932876,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.05331685286447896
PSEN1,0.03150708780798656,0.008932217292152423,-0.0,-0.0,-0.006929263872873623,0.0,-0.0,0.0,0.0,0.0,-0.044430023015828164,0.0,0.0,-0.0
RAB1A,0.012031504863706738,-0.0006661470715917213,-0.043076388775476974,0.0,0.003793519048761033,0.0028415408535412013,0.0,0.0,0.0,-0.0,-0.0,-0.014136068125532667,-0.0,0.0
RAB1B,0.0,0.009427531742944239,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.004720601815177144,0.008939074424706232,0.0,0.0,0.0
RTN3,0.0,0.023817192781684766,-0.0,0.0,0.0009713596655646184,-0.03680070552514966,0.0,-0.007278962225666019,-0.0,0.0,-0.0,-0.0,0.0,0.0
RTN4,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SAR1A,-0.0,-0.0,0.0,0.0,0.0,-0.001337463950860837,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
SAR1B,-0.0076277769333943845,0.0,0.0,-0.0,-0.0,0.003091998744595118,0.008708091018665324,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
