variable,state,config,rep_edges,rep_pos,rep_top,lambda_used,density,sink_entropy,sink_pmax,kendall,best_minus_mean,C_enrich_+5,C_z_+5,C_enrich_+3,C_z_+3,C_enrich_-1,C_z_-1,C_enrich_-2,C_z_-2,C_orient,acyclic
sex,female,LAMBDA_MODE=abs|LAMBDA=0.06|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.02|SHRINK_SCALE=1.0|CONTEXT=all,0.16669849223737565,0.8055368350867055,0.22957198443579765,0.06,0.4349256329113924,0.05400828921235693,0.9476500115364968,0.415218689082422,0.014172986092727546,1.3456800342007327,5.112966453112521,1.070168809971307,2.0129384930358643,0.9371410147798498,-2.343232613722161,1.0135467896193924,0.4216564294388935,0.5169151410919643,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.06|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.15963118393551531,0.6730388307411009,0.2153846153846154,0.06,0.42660601265822784,0.47608595700105627,0.5281453363726053,0.22015624174850235,0.014835229323380827,1.349175776505132,5.193030653726392,1.0712900963041132,2.053096111028446,0.9377073709638108,-2.2916471080364547,1.0158336758053976,0.49983392440533725,0.4940180107623328,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.06|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.16237038785272453,0.5107072530708546,0.22957198443579765,0.06,0.4197658227848101,0.8983105377359228,0.14127061508988056,0.0978094641664007,0.019409521121266315,1.3616832954926734,5.495029686417386,1.0728209028137532,2.1204379002489304,0.9319508385957203,-2.5298238447032757,1.0066276173136808,0.22732960692803403,0.47541302703074495,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.06|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.2|SHRINK_SCALE=1.0|CONTEXT=all,0.16007021776639996,0.447413762790534,0.22957198443579765,0.06,0.4132310126582278,0.9836977569884892,0.045960069976888764,0.02842675368002443,0.021781627032407047,1.3685746538452506,5.53225161160328,1.0736019371087373,2.129941132669607,0.9372263895518571,-2.3020842371394328,1.0063922069465128,0.22111360856437604,0.4817778043113218,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.06|LAMBDA_Q=0.85|TAU_A_RATIO=0.25|T_SOFTMAX=0.02|SHRINK_SCALE=1.0|CONTEXT=all,0.16017165833145275,0.3831268533649628,0.2589641434262948,0.06,0.36796360759493674,0.1157980952000903,0.9170123950715082,0.11527587554847345,0.019027224544320542,1.5025154011610806,4.906551871224432,1.1055151589439816,1.9134983638855152,0.8995465395174296,-2.4341499052064934,1.0164452658246521,0.36242713216672456,0.48312374189222496,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.06|LAMBDA_Q=0.85|TAU_A_RATIO=0.25|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.16343423017663186,0.24892603250754233,0.26907630522088355,0.06,0.36044778481012657,0.8742017147846223,0.22772412297047287,0.041442192447310955,0.02395553905860298,1.520754832622689,5.057491733527259,1.1082721331680196,1.9555412093158564,0.9029322574114818,-2.3090045729386617,1.0073241910115005,0.18435394512912717,0.49279217679046117,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.06|LAMBDA_Q=0.85|TAU_A_RATIO=0.25|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.16368158224372528,0.18706047819971874,0.2897959183673469,0.06,0.3565348101265823,0.9863802001118742,0.05827706438631135,0.020108139105038267,0.023348459615284145,1.5231564811519616,5.059858939375963,1.1080475022352516,1.9127308655518687,0.9070738753290342,-2.1856386335294538,1.0077482458746214,0.19191917485373927,0.48442179449314426,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.06|LAMBDA_Q=0.85|TAU_A_RATIO=0.25|T_SOFTMAX=0.2|SHRINK_SCALE=1.0|CONTEXT=all,0.16918565235371932,0.07689151968355543,0.264,0.06,0.3548069620253165,0.9978159184800801,0.027195808307358786,0.008732524045581558,0.02138208897434407,1.5408832997166502,5.183631001887051,1.1031721059775315,1.8385317201843803,0.9027452181568456,-2.2714328572024485,1.003301369354295,0.10959857160030625,0.47065367798109037,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.06|LAMBDA_Q=0.85|TAU_A_RATIO=0.125|T_SOFTMAX=0.02|SHRINK_SCALE=1.0|CONTEXT=all,0.16275623116165613,0.03501687843083617,0.1407942238267148,0.06,0.32458860759493674,0.976520389566735,0.08381883679914442,0.017559086463066583,0.01928013154477809,1.6309938686148586,4.800787230313379,1.1353827238687109,1.9057464215462498,0.8830405197446737,-2.153588627976025,0.9986384979262304,0.025233285044762452,0.48598119869958567,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.06|LAMBDA_Q=0.85|TAU_A_RATIO=0.125|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.1671325601612506,-0.008333431006561691,0.1366906474820144,0.06,0.32258544303797465,0.9984289762311418,0.02650037898821357,0.006694332383526165,0.016189289668745555,1.6266906687600504,4.716867048052983,1.1301225674142397,1.8318191369864185,0.8801041372397349,-2.189494369522982,0.9999589303274238,0.04061787595754722,0.48044023029893035,True
