variable,state,config,rep_edges,rep_pos,rep_top,lambda_used,density,sink_entropy,sink_pmax,kendall,best_minus_mean,C_enrich_+5,C_z_+5,C_enrich_+3,C_z_+3,C_enrich_-1,C_z_-1,C_enrich_-2,C_z_-2,C_orient,acyclic
ceradsc,3,LAMBDA_MODE=quantile|LAMBDA=0.15|LAMBDA_Q=0.75|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.11379992426678268,0.5100973992075547,0.13261648745519714,0.052835218009918875,0.3679098101265823,0.9562895723740912,0.057998899750974324,0.07323624597326917,0.015054420935808333,1.2637431433736293,3.9235240931101267,0.9754367510935734,-0.5636082146834746,0.9213414437051348,-2.8982658436941238,1.0196692149771098,0.691271736542167,0.5203147146370521,True
ceradsc,3,LAMBDA_MODE=quantile|LAMBDA=0.15|LAMBDA_Q=0.8|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.11508633095712517,0.4670468131313098,0.13261648745519714,0.05906241000617602,0.3382832278481013,0.9251083705587586,0.07447179698511429,0.12910267331302078,0.014431639631213522,1.2823525742516377,4.208745904414605,0.9853094771167725,-0.30378074365922575,0.9130579645450418,-3.1607266056361425,1.0203351292726817,0.7039106545503416,0.5107649181981699,True
ceradsc,3,LAMBDA_MODE=quantile|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.1105977642595678,0.4738569369073711,0.14909090909090908,0.06671245584208862,0.3103623417721519,0.8908296497371657,0.08831146400389105,0.18098965448755186,0.012193478197947971,1.3038932249848736,4.636891009088444,0.9840158382219737,-0.3494452072844632,0.9246183741984352,-2.7778404227013738,1.0192316304792617,0.6955521373668153,0.5304691889404759,True
ceradsc,3,LAMBDA_MODE=quantile|LAMBDA=0.15|LAMBDA_Q=0.9|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.10994460228365499,0.4937089411063511,0.14492753623188406,0.07760996698595318,0.2794525316455696,0.8623094433409618,0.09445025217674125,0.26054082180898086,0.011285362838686447,1.3339465322778592,5.27426139755506,0.9894595941497668,-0.21088429919458074,0.9216912077119985,-2.9468299403797586,1.0191920617488401,0.6750292032539168,0.536926225485951,True
ceradsc,3,LAMBDA_MODE=quantile|LAMBDA=0.15|LAMBDA_Q=0.95|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.10414931418526478,0.4636427566807314,0.12455516014234876,0.0945856960799907,0.24496993670886077,0.8579155616207552,0.0856200580738534,0.3364395031766113,0.010140997812483732,1.3111519531268108,5.244087543249431,0.9888844857606942,-0.2178866943809133,0.931624528411405,-2.7949140284578915,1.0149839758635317,0.5517390892940869,0.5455821600202344,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.10782868724125998,0.43678174392301783,0.12056737588652482,0.12,0.2126629746835443,0.7276065947598733,0.15607679258429621,0.5692045355397024,0.008625001134122068,1.274674139238835,5.13651000208344,1.0081608343490973,0.34110995223535584,0.943659216759053,-2.5987412113148283,1.007887976098429,0.5111227336828095,0.5598545771091783,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.5|CONTEXT=all,0.09056245303398842,0.40421005749672934,0.10877192982456141,0.12,0.17297943037974683,0.8360382222972655,0.09808600383343019,0.47060209527767505,0.00614214367555066,1.2051557568584585,4.79846769071986,1.0229162677078336,0.9052323335682779,0.9756586523939488,-1.4024022554959088,1.0106459652679969,0.9325525886359345,0.5890750855125234,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=2.0|CONTEXT=all,-0.004950292462914057,0.5091128588354714,0.01607717041800643,0.12,0.14090189873417722,0.932178350304544,0.044468914829503076,0.2674748207344206,0.0027042895860403676,1.0992063953141904,2.5288052945602786,1.0414933574894327,1.9712765041900049,0.986813575084637,-0.803014907871261,0.9925353509960154,-0.2705607215945353,0.5944428531654544,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=3.0|CONTEXT=all,0.015487568156841377,0.04880092831691595,0.022653721682847898,0.12,0.1187990506329114,1.0,0.0125,0.007599270538910331,2.7755575615628914e-17,0.9881062534302705,-0.4234181637168457,1.0306237655228987,1.5226754604251151,1.0095817973852852,0.853126867764121,0.9989271366656333,-0.1885993332344078,0.5338158726009193,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=no_pmi,0.0957951807648162,0.4535449313751918,0.1166077738515901,0.12,0.2110506329113924,0.746485046411733,0.14112761139757266,0.5669968078902112,0.007575170951315505,1.2756283684090564,5.377628034040754,1.0135214340296428,0.5234611348644299,0.9476780899904633,-2.4109516972974134,1.0190398584506137,0.8763074528234785,0.5536172376737292,True
