57 states, 2 workers, solver=lw
  [38/57] amyCerad=1 n=48 ok best=0.1718 2.3s
  [39/57] PlaqueTotal=0-3 n=43 ok best=0.1915 2.4s
  [40/57] TangleTotal=6-9 n=43 ok best=0.2022 2.3s
  [41/57] apoe_genotype=24 n=40 ok best=0.2545 2.3s
  [42/57] cts_mmse30_first_ad_dx=24-30 n=39 ok best=0.1485 2.4s
  [43/57] TangleTotal=3-6 n=37 ok best=0.207 2.6s
  [44/57] amyThal=1 n=33 ok best=0.2468 2.5s
  [45/57] reag=0 n=33 ok best=0.2362 2.3s
  [46/57] cts_mmse30_lv=6-12 n=30 ok best=0.1979 2.3s
  [47/57] amyThal=2 n=29 ok best=0.2371 2.4s
  [48/57] TangleTotal=0-3 n=24 ok best=0.1731 2.4s
  [49/57] TangleTotal=9-12 n=23 ok best=0.1823 2.2s
  [50/57] PlaqueTotal=9-12 n=22 ok best=0.1853 2.1s
  [51/57] cts_mmse30_first_ad_dx=12-18 n=20 ok best=0.1825 2.4s
  [52/57] PlaqueTotal=6-9 n=15 ok best=0.1801 2.4s
  [53/57] cts_mmse30_first_ad_dx=6-12 n=13 ok best=0.1725 2.5s
  [54/57] PlaqueTotal=3-6 n=13 ok best=0.1743 2.5s
  [55/57] apoe_genotype=22 n=8 ok best=0.1712 2.4s
  [56/57] cts_mmse30_first_ad_dx=0-6 n=6 ok best=0.1646 2.5s
  [57/57] braaksc=0 n=6 ok best=0.163 2.1s
done in 70s -> /home/claude/cw/big1/results_sweep_top2/summary.csv
57 states, 2 workers, solver=lw
  [1/57] sex=female n=941 ok best=0.3501 2.6s
  [2/57] apoe_genotype=33 n=804 ok best=0.348 2.7s
  [3/57] sex=male n=629 ok best=0.3668 1.9s
  [4/57] amyAny=1 n=521 ok best=0.3742 2.4s
  [5/57] apoe_genotype=34 n=422 ok best=0.356 2.2s
  [6/57] cts_mmse30_lv=24-30 n=367 ok best=0.2631 2.6s
  [7/57] braaksc=4 n=360 ok best=0.2976 2.4s
  [8/57] amyCerad=3 n=333 ok best=0.3689 2.0s
  [9/57] braaksc=3 n=321 ok best=0.3224 2.3s
  [10/57] braaksc=5 n=310 ok best=0.3231 2.5s
  [11/57] amyA=3 n=277 ok best=0.4299 2.3s
  [12/57] braaksc=6 n=268 ok best=0.394 2.4s
  [13/57] reag=3 n=244 ok best=0.3472 2.5s
  [14/57] ceradsc=3 n=219 ok best=0.2347 2.4s
  [15/57] amyThal=5 n=218 ok best=0.4332 2.5s
  [16/57] reag=2 n=218 ok best=0.3386 2.4s
  [17/57] reag=1 n=197 ok best=0.2908 2.2s
  [18/57] amyCerad=0 n=171 ok best=0.3478 2.1s
  [19/57] amyAny=0 n=171 ok best=0.3446 2.2s
  [20/57] ceradsc=2 n=169 ok best=0.2189 2.2s
  [21/57] apoe_genotype=23 n=158 ok best=0.2595 2.0s
  [22/57] ceradsc=0 n=144 ok best=0.1815 2.2s
  [23/57] braaksc=2 n=142 ok best=0.2816 2.1s
  [24/57] amyCerad=2 n=140 ok best=0.2918 2.5s
  [25/57] braaksc=1 n=106 ok best=0.258 2.2s
  [26/57] PlaqueTotal=12-15 n=97 ok best=0.2406 2.4s
  [27/57] cts_mmse30_lv=18-24 n=75 ok best=0.1301 2.3s
  [28/57] apoe_genotype=44 n=68 ok best=0.2948 2.5s
  [29/57] amyThal=3 n=68 ok best=0.2745 2.2s
  [30/57] amyA=2 n=68 ok best=0.2767 2.4s
  [31/57] amyA=1 n=65 ok best=0.3058 2.5s
  [32/57] TangleTotal=12-15 n=63 ok best=0.1835 2.0s
  [33/57] cts_mmse30_lv=0-6 n=62 ok best=0.1192 2.5s
  [34/57] ceradsc=1 n=58 ok best=0.1535 2.1s
  [35/57] cts_mmse30_lv=12-18 n=56 ok best=0.1798 2.6s
  [36/57] amyThal=4 n=55 ok best=0.292 2.5s
  [37/57] cts_mmse30_first_ad_dx=18-24 n=48 ok best=0.2089 2.3s
  [38/57] amyCerad=1 n=48 ok best=0.1192 2.5s
  [39/57] PlaqueTotal=0-3 n=43 ok best=0.1359 2.5s
  [40/57] TangleTotal=6-9 n=43 ok best=0.1646 2.4s
  [41/57] apoe_genotype=24 n=40 ok best=0.2603 2.5s
  [42/57] cts_mmse30_first_ad_dx=24-30 n=39 ok best=0.1192 2.5s
  [43/57] TangleTotal=3-6 n=37 ok best=0.1634 2.1s
  [44/57] amyThal=1 n=33 ok best=0.2468 2.5s
  [45/57] reag=0 n=33 ok best=0.2252 2.3s
  [46/57] cts_mmse30_lv=6-12 n=30 ok best=0.1524 2.4s
  [47/57] amyThal=2 n=29 ok best=0.2327 2.4s
  [48/57] TangleTotal=0-3 n=24 ok best=0.1192 2.5s
  [49/57] TangleTotal=9-12 n=23 ok best=0.1192 2.3s
  [50/57] PlaqueTotal=9-12 n=22 ok best=0.1258 2.5s
  [51/57] cts_mmse30_first_ad_dx=12-18 n=20 ok best=0.1192 2.4s
  [52/57] PlaqueTotal=6-9 n=15 ok best=0.1303 2.6s
  [53/57] cts_mmse30_first_ad_dx=6-12 n=13 ok best=0.1192 2.6s
