config,rep_edges,rep_pos,rep_top,lambda_used,density,sink_entropy,sink_pmax,kendall,best_minus_mean,C_enrich_+5,C_z_+5,C_enrich_+3,C_z_+3,C_enrich_-1,C_z_-1,C_enrich_-2,C_z_-2,C_orient,acyclic,acyclic_all,LAMBDA_MODE,LAMBDA,LAMBDA_Q,TAU_A_RATIO,T_SOFTMAX,SHRINK_SCALE,CONTEXT,score,eligible
LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=none,0.12508646970804965,0.6473001324885831,0.1407942238267148,0.12,0.2577563291139241,0.5424878662991658,0.3113077643717977,0.535270241760748,0.012124681355200034,1.401788239363447,6.683291686333014,1.0482228566943665,1.4379527985834768,0.9525703134786906,-1.7232421916185667,0.9953323540179775,-0.17480112923233643,0.49726516818970345,1.0,True,abs,0.12,0.85,0.5,0.05,1.0,none,0.3861933010983164,True
LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=none,0.11811540265300977,0.6439521800281295,0.1407942238267148,0.15,0.22400474683544305,0.854780188519194,0.09266454076532943,0.32694765651727675,0.011171696806309028,1.3694863598222031,6.337063811104479,1.0475438007800242,1.422897047335768,0.9604939808055689,-1.7874628033770652,0.990793108241405,-0.261981857973496,0.4901571946402192,1.0,True,abs,0.15,0.85,0.5,0.1,1.0,none,0.38103379134056964,True
LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.5|CONTEXT=none,0.1393568972160363,0.6035548731636291,0.16605166051660517,0.12,0.22588291139240507,0.6264778818860126,0.24115064553838306,0.546044731440301,0.01048220259841845,1.415279999649191,7.361547768368315,1.0468401741103481,1.457180305161868,0.9601738511025066,-1.763248912044132,0.9891021327879167,-0.3118922062303048,0.4806839802561157,1.0,True,abs,0.12,0.85,0.5,0.05,1.5,none,0.3714558851898327,True
LAMBDA_MODE=quantile|LAMBDA=0.12|LAMBDA_Q=0.75|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.12472894049536772,0.607856351723704,0.1366906474820144,0.06977259833150495,0.37973417721518987,0.6905313074652301,0.258280713895263,0.17806792116217823,0.016469673371308557,1.3317243001103294,5.23026039779003,1.0576297767035947,1.3443547228598796,0.9663810692821668,-1.0613083307281406,0.9930723439988118,-0.17923047753393273,0.4503482279637997,1.0,True,quantile,0.12,0.75,0.5,0.05,1.0,all,0.3662926461095359,True
LAMBDA_MODE=quantile|LAMBDA=0.15|LAMBDA_Q=0.75|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.12472894049536772,0.607856351723704,0.1366906474820144,0.06977259833150495,0.37973417721518987,0.6905313074652301,0.258280713895263,0.17806792116217823,0.016469673371308557,1.3317243001103294,5.23026039779003,1.0576297767035947,1.3443547228598796,0.9663810692821668,-1.0613083307281406,0.9930723439988118,-0.17923047753393273,0.4503482279637997,1.0,True,quantile,0.15,0.75,0.5,0.05,1.0,all,0.3662926461095359,True
LAMBDA_MODE=quantile|LAMBDA=0.15|LAMBDA_Q=0.9|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.11480794516241531,0.6171228984116846,0.1366906474820144,0.10484998922989912,0.2872610759493671,0.820135545281662,0.13428434687638818,0.2561284231517219,0.01440545159675391,1.3906122365527427,6.189320387337409,1.0503651657915145,1.3246985319331446,0.9593394488494893,-1.3714942189791262,0.9926255134240862,-0.21852909523989342,0.46529495252158,1.0,True,quantile,0.15,0.9,0.5,0.1,1.0,all,0.36596542178704994,True
LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=none,0.11416198309189497,0.612962962962963,0.14492753623188406,0.15,0.22511075949367088,0.6386840770861731,0.23542596227426238,0.5564592028737597,0.01056112060831002,1.3718075245646748,6.611893062511932,1.046224719716821,1.3261624945126762,0.961185718478841,-1.645635555874685,0.9906438178650356,-0.3537997962843502,0.5080225234377267,1.0,True,abs,0.15,0.85,0.5,0.05,1.0,none,0.363562473027429,True
LAMBDA_MODE=quantile|LAMBDA=0.12|LAMBDA_Q=0.8|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.12957670099696925,0.5972573839662448,0.13261648745519714,0.07928777761677916,0.35033860759493674,0.5725471984211608,0.33202519486858156,0.27087907293922076,0.015743291196818998,1.3582048650554093,5.3794065474306585,1.0521228066730943,1.3807958568508623,0.965985249648946,-1.1719459408263218,0.9949282507749768,-0.07879732954631818,0.4654151207639442,1.0,True,quantile,0.12,0.8,0.5,0.05,1.0,all,0.36341704248160706,True
LAMBDA_MODE=quantile|LAMBDA=0.15|LAMBDA_Q=0.8|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.12957670099696925,0.5972573839662448,0.13261648745519714,0.07928777761677916,0.35033860759493674,0.5725471984211608,0.33202519486858156,0.27087907293922076,0.015743291196818998,1.3582048650554093,5.3794065474306585,1.0521228066730943,1.3807958568508623,0.965985249648946,-1.1719459408263218,0.9949282507749768,-0.07879732954631818,0.4654151207639442,1.0,True,quantile,0.15,0.8,0.5,0.05,1.0,all,0.36341704248160706,True
LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.11676937513793254,0.60757275636142,0.12857142857142856,0.15,0.22983386075949366,0.8486180363367941,0.09253421820209819,0.32240058729615684,0.011489262573428777,1.3632180743385387,6.138768353168995,1.0470108374257023,1.4072712996741046,0.9651672339871034,-1.4697066744135836,0.9921518755950489,-0.20803448929817264,0.4825225552500161,1.0,True,abs,0.15,0.85,0.5,0.1,1.0,all,0.3621710657496763,True
