config,rep_edges,rep_pos,rep_top,lambda_used,density,sink_entropy,sink_pmax,kendall,best_minus_mean,C_enrich_+5,C_z_+5,C_enrich_+3,C_z_+3,C_enrich_-1,C_z_-1,C_enrich_-2,C_z_-2,C_orient,acyclic,acyclic_all,LAMBDA_MODE,LAMBDA,LAMBDA_Q,TAU_A_RATIO,T_SOFTMAX,SHRINK_SCALE,CONTEXT,score,eligible
LAMBDA_MODE=abs|LAMBDA=0.2|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.02|SHRINK_SCALE=1.0|CONTEXT=all,0.10485778249967745,0.5770042194092828,0.13261648745519714,0.2,0.19790031645569622,0.3779535850841879,0.41515456416739116,0.7464743862033811,0.008538133656598973,1.3276051381387952,6.4448717234979656,1.0409718143541782,1.4104740226837857,0.9659038108721378,-1.682394074297242,0.9936839442473714,-0.08758973568526551,0.4949368829381813,1.0,True,abs,0.2,0.85,0.5,0.02,1.0,all,0.34093100095448015,True
LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.125|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.1128115735561094,0.5641449392667068,0.12857142857142856,0.15,0.05625158227848101,0.46763921421729393,0.3322635440670859,0.41561464616430205,0.04937448900179944,3.596040922704942,7.8323835352174385,1.2422824390084182,1.3821728088674077,0.7715130877803238,-1.6349141889910157,0.9332256685710312,-0.4674635576744109,0.5042960558334374,1.0,True,abs,0.15,0.85,0.125,0.1,1.0,all,0.3384782564114081,True
LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.25|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.11640659827210965,0.5551954711503632,0.14492753623188406,0.15,0.11427373417721519,0.6514362738050476,0.21393440308226486,0.40980801687763707,0.026485000023378058,2.0577152480967182,7.467969072821486,1.1107841446202902,1.2565049880486443,0.8841421037094326,-1.8758097126008901,0.9738560299863066,-0.38702283533485504,0.5097873112622765,1.0,True,abs,0.15,0.85,0.25,0.1,1.0,all,0.3358010347112364,True
LAMBDA_MODE=abs|LAMBDA=0.2|LAMBDA_Q=0.85|TAU_A_RATIO=0.125|T_SOFTMAX=0.2|SHRINK_SCALE=1.0|CONTEXT=all,0.10298332106212643,0.5682171133308621,0.1366906474820144,0.2,0.022113924050632915,0.8618632561874168,0.05043193151826458,0.31683328473320826,0.08112417244698342,4.839276879472644,7.899507090742322,1.329843899394847,1.2443132835034123,0.687613019915369,-1.7509268218720437,0.9060784242855613,-0.5373699408173636,0.5277608737428736,1.0,True,abs,0.2,0.85,0.125,0.2,1.0,all,0.33560021719649424,True
LAMBDA_MODE=abs|LAMBDA=0.06|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.02|SHRINK_SCALE=1.0|CONTEXT=all,0.11900993379170795,0.5511401262408648,0.13261648745519714,0.06,0.426993670886076,0.32345649735929904,0.6003435288917116,0.25686220372100926,0.016199403776541943,1.3230588935965504,5.112966453112521,1.0501195335139526,1.1587989037442266,0.9663444765776257,-1.176155165671232,0.9961151236289544,-0.10406432171198232,0.4432983913014874,1.0,True,abs,0.06,0.85,0.5,0.02,1.0,all,0.3350750300162864,True
LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.25|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.11769332002790438,0.551670788490641,0.1366906474820144,0.12,0.16137025316455697,0.31237616671078744,0.5494430384483435,0.4495369977062271,0.02552584296371785,1.9482739394541668,6.889784060953705,1.1050119249705932,1.365128903595949,0.8937539549262987,-1.8516364928847473,0.9786251569783382,-0.29811988445972726,0.49266981962961787,1.0,True,abs,0.12,0.85,0.25,0.05,1.0,all,0.33468205425927267,True
LAMBDA_MODE=abs|LAMBDA=0.08|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.12255673060779576,0.5449079337544979,0.13261648745519714,0.08,0.3500332278481013,0.601728263625712,0.3085358511457034,0.3004714977487044,0.01563389398447479,1.3559996282598448,5.549927554113802,1.054347386413626,1.431297115278977,0.9604018580570596,-1.4556880420599758,0.994665227921574,-0.14579194560658482,0.45426577078750985,1.0,True,abs,0.08,0.85,0.5,0.05,1.0,all,0.33373233218114684,True
LAMBDA_MODE=abs|LAMBDA=0.2|LAMBDA_Q=0.85|TAU_A_RATIO=0.125|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.10762547169512832,0.5570623190996682,0.13261648745519714,0.2,0.022867088607594933,0.7588908568427314,0.08922932859888223,0.5096960448565331,0.07762944264104121,4.853032565494902,7.727133268957627,1.318130637780007,1.1334150783608368,0.689570015512712,-1.774995861221315,0.9154841334732156,-0.3956288123494113,0.5685787483987879,1.0,True,abs,0.2,0.85,0.125,0.1,1.0,all,0.3323438953973983,True
LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.125|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.12021456327584083,0.5357517508223393,0.13261648745519714,0.12,0.10247310126582279,0.20758120783587775,0.6658005644267877,0.2896037461512145,0.036153183782147214,2.698933793580246,7.144237413256416,1.2110364854578606,1.5024194473359522,0.8333042705801827,-1.7475974254716202,0.9544623834632313,-0.4436112023494326,0.4788359788359787,1.0,True,abs,0.12,0.85,0.125,0.05,1.0,all,0.32798315704909003,True
LAMBDA_MODE=abs|LAMBDA=0.2|LAMBDA_Q=0.85|TAU_A_RATIO=0.25|T_SOFTMAX=0.02|SHRINK_SCALE=1.0|CONTEXT=all,0.102493816397077,0.5523623108569017,0.13261648745519714,0.2,0.07482120253164556,0.29687318002035684,0.5057364375514309,0.7942754984191567,0.025252104736651917,2.0730230846424584,7.5575313420671755,1.11984632070354,1.2764170723567272,0.8874244958877148,-1.9105385331887532,0.9699537770762536,-0.4231658751285793,0.5381833930253181,1.0,True,abs,0.2,0.85,0.25,0.02,1.0,all,0.32742806362698934,True
